topic, slot, schedule, stat, N, result
all, all, 1, acc, 12290, 0.0583401
all, all, 1, precision, 19913, 0.4007935
all, all, 1, recall, 28749, 0.2776097
all, all, 1, f1, 40681, 0.3280178
FOOD, INFO, 1, acc, 1843, 0.1519262
FOOD, INFO, 1, precision, 480, 0.5833333
FOOD, INFO, 1, recall, 1945, 0.1439589
FOOD, INFO, 1, f1, 2145, 0.2309278
FOOD, CUISINE, 1, acc, 793, 0.0870113
FOOD, CUISINE, 1, precision, 412, 0.2766990
FOOD, CUISINE, 1, recall, 673, 0.1693908
FOOD, CUISINE, 1, f1, 971, 0.2101382
FOOD, TYPE_OF_PLACE, 1, acc, 395, 0.2430380
FOOD, TYPE_OF_PLACE, 1, precision, 152, 0.7368421
FOOD, TYPE_OF_PLACE, 1, recall, 378, 0.2962963
FOOD, TYPE_OF_PLACE, 1, f1, 418, 0.4226415
FOOD, DRINK, 1, acc, 229, 0.1179039
FOOD, DRINK, 1, precision, 172, 0.1802326
FOOD, DRINK, 1, recall, 112, 0.2767857
FOOD, DRINK, 1, f1, 253, 0.2183099
FOOD, PLACE, 1, acc, 1186, 0.0767285
FOOD, PLACE, 1, precision, 1109, 0.1109107
FOOD, PLACE, 1, recall, 527, 0.2333966
FOOD, PLACE, 1, f1, 1513, 0.1503667
FOOD, MEAL_TIME, 1, acc, 125, 0.0560000
FOOD, MEAL_TIME, 1, precision, 135, 0.2444444
FOOD, MEAL_TIME, 1, recall, 46, 0.7173913
FOOD, MEAL_TIME, 1, f1, 148, 0.3646409
FOOD, DISH, 1, acc, 1849, 0.1579232
FOOD, DISH, 1, precision, 1386, 0.2929293
FOOD, DISH, 1, recall, 1865, 0.2176944
FOOD, DISH, 1, f1, 2845, 0.2497693
FOOD, NEIGHBOURHOOD, 1, acc, 442, 0.2511312
FOOD, NEIGHBOURHOOD, 1, precision, 283, 0.4416961
FOOD, NEIGHBOURHOOD, 1, recall, 310, 0.4032258
FOOD, NEIGHBOURHOOD, 1, f1, 468, 0.4215852
FOOD, all, 1, acc, 2683, 0.0387626
FOOD, all, 1, precision, 4129, 0.2964398
FOOD, all, 1, recall, 5856, 0.2090164
FOOD, all, 1, f1, 8761, 0.2451678
ATTRACTION, INFO, 1, acc, 4467, 0.1405865
ATTRACTION, INFO, 1, precision, 1805, 0.4803324
ATTRACTION, INFO, 1, recall, 4948, 0.1752223
ATTRACTION, INFO, 1, f1, 5886, 0.2567748
ATTRACTION, TYPE_OF_PLACE, 1, acc, 1840, 0.2516304
ATTRACTION, TYPE_OF_PLACE, 1, precision, 1106, 0.4547920
ATTRACTION, TYPE_OF_PLACE, 1, recall, 1388, 0.3623919
ATTRACTION, TYPE_OF_PLACE, 1, f1, 1991, 0.4033681
ATTRACTION, ACTIVITY, 1, acc, 1907, 0.1054012
ATTRACTION, ACTIVITY, 1, precision, 1117, 0.1888988
ATTRACTION, ACTIVITY, 1, recall, 1233, 0.1711273
ATTRACTION, ACTIVITY, 1, f1, 2139, 0.1795745
ATTRACTION, PLACE, 1, acc, 4803, 0.2962732
ATTRACTION, PLACE, 1, precision, 4096, 0.3925781
ATTRACTION, PLACE, 1, recall, 3987, 0.4033108
ATTRACTION, PLACE, 1, f1, 6475, 0.3978721
ATTRACTION, TIME, 1, acc, 526, 0.1577947
ATTRACTION, TIME, 1, precision, 561, 0.2584670
ATTRACTION, TIME, 1, recall, 300, 0.4833333
ATTRACTION, TIME, 1, f1, 716, 0.3368177
ATTRACTION, NEIGHBOURHOOD, 1, acc, 1991, 0.3400301
ATTRACTION, NEIGHBOURHOOD, 1, precision, 1137, 0.6798593
ATTRACTION, NEIGHBOURHOOD, 1, recall, 1843, 0.4194249
ATTRACTION, NEIGHBOURHOOD, 1, f1, 2207, 0.5187919
ATTRACTION, all, 1, acc, 5949, 0.0677425
ATTRACTION, all, 1, precision, 9822, 0.4181429
ATTRACTION, all, 1, recall, 13699, 0.2998029
ATTRACTION, all, 1, f1, 19414, 0.3492198
TRANSPORTATION, INFO, 1, acc, 1198, 0.1285476
TRANSPORTATION, INFO, 1, precision, 444, 0.3716216
TRANSPORTATION, INFO, 1, recall, 1195, 0.1380753
TRANSPORTATION, INFO, 1, f1, 1474, 0.2013423
TRANSPORTATION, FROM, 1, acc, 1431, 0.1167016
TRANSPORTATION, FROM, 1, precision, 1086, 0.1537753
TRANSPORTATION, FROM, 1, recall, 1055, 0.1582938
TRANSPORTATION, FROM, 1, f1, 1974, 0.1560019
TRANSPORTATION, TO, 1, acc, 1173, 0.0639386
TRANSPORTATION, TO, 1, precision, 420, 0.2190476
TRANSPORTATION, TO, 1, recall, 1081, 0.0851064
TRANSPORTATION, TO, 1, f1, 1409, 0.1225849
TRANSPORTATION, STATION, 1, acc, 284, 0.0176056
TRANSPORTATION, STATION, 1, precision, 20, 0.2500000
TRANSPORTATION, STATION, 1, recall, 269, 0.0185874
TRANSPORTATION, STATION, 1, f1, 284, 0.0346021
TRANSPORTATION, LINE, 1, acc, 244, 0.1229508
TRANSPORTATION, LINE, 1, precision, 44, 0.7500000
TRANSPORTATION, LINE, 1, recall, 263, 0.1254753
TRANSPORTATION, LINE, 1, f1, 274, 0.2149837
TRANSPORTATION, TYPE, 1, acc, 1870, 0.6085561
TRANSPORTATION, TYPE, 1, precision, 2047, 0.6570591
TRANSPORTATION, TYPE, 1, recall, 1771, 0.7594579
TRANSPORTATION, TYPE, 1, f1, 2473, 0.7045574
TRANSPORTATION, TICKET, 1, acc, 49, 0.3673469
TRANSPORTATION, TICKET, 1, precision, 24, 0.7500000
