topic, slot, schedule, stat, N, result
all, all, 1, acc, 12290, 0.0552482
all, all, 1, precision, 27717, 0.3716852
all, all, 1, recall, 28749, 0.3583429
all, all, 1, f1, 46164, 0.3648921
FOOD, INFO, 1, acc, 2155, 0.2900232
FOOD, INFO, 1, precision, 1709, 0.4142774
FOOD, INFO, 1, recall, 1945, 0.3640103
FOOD, INFO, 1, f1, 2946, 0.3875205
FOOD, CUISINE, 1, acc, 975, 0.1107692
FOOD, CUISINE, 1, precision, 754, 0.2453581
FOOD, CUISINE, 1, recall, 673, 0.2748886
FOOD, CUISINE, 1, f1, 1242, 0.2592852
FOOD, TYPE_OF_PLACE, 1, acc, 862, 0.1902552
FOOD, TYPE_OF_PLACE, 1, precision, 728, 0.2472527
FOOD, TYPE_OF_PLACE, 1, recall, 378, 0.4761905
FOOD, TYPE_OF_PLACE, 1, f1, 926, 0.3254973
FOOD, DRINK, 1, acc, 402, 0.0920398
FOOD, DRINK, 1, precision, 355, 0.1154930
FOOD, DRINK, 1, recall, 112, 0.3660714
FOOD, DRINK, 1, f1, 426, 0.1755889
FOOD, PLACE, 1, acc, 951, 0.0588854
FOOD, PLACE, 1, precision, 690, 0.0898551
FOOD, PLACE, 1, recall, 527, 0.1176471
FOOD, PLACE, 1, f1, 1155, 0.1018899
FOOD, MEAL_TIME, 1, acc, 128, 0.0546875
FOOD, MEAL_TIME, 1, precision, 138, 0.2391304
FOOD, MEAL_TIME, 1, recall, 46, 0.7173913
FOOD, MEAL_TIME, 1, f1, 151, 0.3586957
FOOD, DISH, 1, acc, 1858, 0.1738428
FOOD, DISH, 1, precision, 1578, 0.3200253
FOOD, DISH, 1, recall, 1865, 0.2707775
FOOD, DISH, 1, f1, 2938, 0.2933488
FOOD, NEIGHBOURHOOD, 1, acc, 605, 0.1983471
FOOD, NEIGHBOURHOOD, 1, precision, 536, 0.2500000
FOOD, NEIGHBOURHOOD, 1, recall, 310, 0.4322581
FOOD, NEIGHBOURHOOD, 1, f1, 712, 0.3167849
FOOD, all, 1, acc, 2683, 0.0190086
FOOD, all, 1, precision, 6488, 0.2848335
FOOD, all, 1, recall, 5856, 0.3155738
FOOD, all, 1, f1, 10496, 0.2994167
ATTRACTION, INFO, 1, acc, 4901, 0.2293410
ATTRACTION, INFO, 1, precision, 3862, 0.3834801
ATTRACTION, INFO, 1, recall, 4948, 0.2993129
ATTRACTION, INFO, 1, f1, 7329, 0.3362089
ATTRACTION, TYPE_OF_PLACE, 1, acc, 2046, 0.2458456
ATTRACTION, TYPE_OF_PLACE, 1, precision, 1384, 0.4089595
ATTRACTION, TYPE_OF_PLACE, 1, recall, 1388, 0.4077810
ATTRACTION, TYPE_OF_PLACE, 1, f1, 2206, 0.4083694
ATTRACTION, ACTIVITY, 1, acc, 2255, 0.1050998
ATTRACTION, ACTIVITY, 1, precision, 1567, 0.1589024
ATTRACTION, ACTIVITY, 1, recall, 1233, 0.2019465
ATTRACTION, ACTIVITY, 1, f1, 2551, 0.1778571
ATTRACTION, PLACE, 1, acc, 5213, 0.3076923
ATTRACTION, PLACE, 1, precision, 4820, 0.3726141
ATTRACTION, PLACE, 1, recall, 3987, 0.4504640
ATTRACTION, PLACE, 1, f1, 7011, 0.4078574
ATTRACTION, TIME, 1, acc, 539, 0.1892393
ATTRACTION, TIME, 1, precision, 597, 0.2747069
ATTRACTION, TIME, 1, recall, 300, 0.5466667
ATTRACTION, TIME, 1, f1, 733, 0.3656633
ATTRACTION, NEIGHBOURHOOD, 1, acc, 2135, 0.3845433
ATTRACTION, NEIGHBOURHOOD, 1, precision, 1527, 0.6051081
ATTRACTION, NEIGHBOURHOOD, 1, recall, 1843, 0.5013565
ATTRACTION, NEIGHBOURHOOD, 1, f1, 2446, 0.5483680
ATTRACTION, all, 1, acc, 5949, 0.0657253
ATTRACTION, all, 1, precision, 13757, 0.3765356
ATTRACTION, all, 1, recall, 13699, 0.3781298
ATTRACTION, all, 1, f1, 22276, 0.3773310
TRANSPORTATION, INFO, 1, acc, 1309, 0.1306341
TRANSPORTATION, INFO, 1, precision, 738, 0.2439024
TRANSPORTATION, INFO, 1, recall, 1195, 0.1506276
TRANSPORTATION, INFO, 1, f1, 1753, 0.1862390
