topic, slot, schedule, stat, N, result
all, all, 1, acc, 12290, 0.0406835
all, all, 1, precision, 26430, 0.3553916
all, all, 1, recall, 28749, 0.3267244
all, all, 1, f1, 45786, 0.3404556
FOOD, INFO, 1, acc, 2429, 0.2527789
FOOD, INFO, 1, precision, 2180, 0.3366972
FOOD, INFO, 1, recall, 1945, 0.3773779
FOOD, INFO, 1, f1, 3391, 0.3558788
FOOD, CUISINE, 1, acc, 713, 0.0434783
FOOD, CUISINE, 1, precision, 183, 0.1803279
FOOD, CUISINE, 1, recall, 673, 0.0490342
FOOD, CUISINE, 1, f1, 823, 0.0771028
FOOD, TYPE_OF_PLACE, 1, acc, 482, 0.1991701
FOOD, TYPE_OF_PLACE, 1, precision, 253, 0.4426877
FOOD, TYPE_OF_PLACE, 1, recall, 378, 0.2962963
FOOD, TYPE_OF_PLACE, 1, f1, 519, 0.3549921
FOOD, DRINK, 1, acc, 229, 0.1179039
FOOD, DRINK, 1, precision, 172, 0.1802326
FOOD, DRINK, 1, recall, 112, 0.2767857
FOOD, DRINK, 1, f1, 253, 0.2183099
FOOD, PLACE, 1, acc, 497, 0.0000000
FOOD, PLACE, 1, precision, 0, -
FOOD, PLACE, 1, recall, 527, 0.0000000
FOOD, PLACE, 1, f1, 527, -
FOOD, MEAL_TIME, 1, acc, 23, 0.0000000
FOOD, MEAL_TIME, 1, precision, 0, -
FOOD, MEAL_TIME, 1, recall, 46, 0.0000000
FOOD, MEAL_TIME, 1, f1, 46, -
FOOD, DISH, 1, acc, 1849, 0.1579232
FOOD, DISH, 1, precision, 1386, 0.2929293
FOOD, DISH, 1, recall, 1865, 0.2176944
FOOD, DISH, 1, f1, 2845, 0.2497693
FOOD, NEIGHBOURHOOD, 1, acc, 475, 0.2463158
FOOD, NEIGHBOURHOOD, 1, precision, 333, 0.3933934
FOOD, NEIGHBOURHOOD, 1, recall, 310, 0.4225806
FOOD, NEIGHBOURHOOD, 1, f1, 512, 0.4074650
FOOD, all, 1, acc, 2683, 0.0141633
FOOD, all, 1, precision, 4507, 0.3210561
FOOD, all, 1, recall, 5856, 0.2470970
FOOD, all, 1, f1, 8916, 0.2792628
ATTRACTION, INFO, 1, acc, 5881, 0.2208808
ATTRACTION, INFO, 1, precision, 5848, 0.2790698
ATTRACTION, INFO, 1, recall, 4948, 0.3298302
ATTRACTION, INFO, 1, f1, 9164, 0.3023342
ATTRACTION, TYPE_OF_PLACE, 1, acc, 1840, 0.2516304
ATTRACTION, TYPE_OF_PLACE, 1, precision, 1106, 0.4547920
ATTRACTION, TYPE_OF_PLACE, 1, recall, 1388, 0.3623919
ATTRACTION, TYPE_OF_PLACE, 1, f1, 1991, 0.4033681
ATTRACTION, ACTIVITY, 1, acc, 1881, 0.1068581
ATTRACTION, ACTIVITY, 1, precision, 1091, 0.1934005
ATTRACTION, ACTIVITY, 1, recall, 1233, 0.1711273
ATTRACTION, ACTIVITY, 1, f1, 2113, 0.1815835
ATTRACTION, PLACE, 1, acc, 5014, 0.3071400
ATTRACTION, PLACE, 1, precision, 4528, 0.3814046
ATTRACTION, PLACE, 1, recall, 3987, 0.4331578
ATTRACTION, PLACE, 1, f1, 6788, 0.4056371
ATTRACTION, TIME, 1, acc, 526, 0.1577947
ATTRACTION, TIME, 1, precision, 561, 0.2584670
ATTRACTION, TIME, 1, recall, 300, 0.4833333
ATTRACTION, TIME, 1, f1, 716, 0.3368177
ATTRACTION, NEIGHBOURHOOD, 1, acc, 2051, 0.4002925
ATTRACTION, NEIGHBOURHOOD, 1, precision, 1389, 0.6609071
ATTRACTION, NEIGHBOURHOOD, 1, recall, 1843, 0.4981009
ATTRACTION, NEIGHBOURHOOD, 1, f1, 2314, 0.5680693
ATTRACTION, all, 1, acc, 5949, 0.0596739
ATTRACTION, all, 1, precision, 14523, 0.3536459
ATTRACTION, all, 1, recall, 13699, 0.3749179
ATTRACTION, all, 1, f1, 23086, 0.3639714
TRANSPORTATION, INFO, 1, acc, 1132, 0.0000000
TRANSPORTATION, INFO, 1, precision, 0, -
TRANSPORTATION, INFO, 1, recall, 1195, 0.0000000
TRANSPORTATION, INFO, 1, f1, 1195, -
TRANSPORTATION, FROM, 1, acc, 1431, 0.1167016
TRANSPORTATION, FROM, 1, precision, 1086, 0.1537753
TRANSPORTATION, FROM, 1, recall, 1055, 0.1582938
TRANSPORTATION, FROM, 1, f1, 1974, 0.1560019
TRANSPORTATION, TO, 1, acc, 1284, 0.0825545
TRANSPORTATION, TO, 1, precision, 921, 0.1150923
TRANSPORTATION, TO, 1, recall, 1081, 0.0980574
TRANSPORTATION, TO, 1, f1, 1896, 0.1058941
TRANSPORTATION, STATION, 1, acc, 269, 0.0000000
TRANSPORTATION, STATION, 1, precision, 0, -
TRANSPORTATION, STATION, 1, recall, 269, 0.0000000
TRANSPORTATION, STATION, 1, f1, 269, -
TRANSPORTATION, LINE, 1, acc, 242, 0.0000000
TRANSPORTATION, LINE, 1, precision, 0, -
TRANSPORTATION, LINE, 1, recall, 263, 0.0000000
TRANSPORTATION, LINE, 1, f1, 263, -
TRANSPORTATION, TYPE, 1, acc, 1940, 0.6309278
TRANSPORTATION, TYPE, 1, precision, 2251, 0.6401599
TRANSPORTATION, TYPE, 1, recall, 1771, 0.8136646
TRANSPORTATION, TYPE, 1, f1, 2581, 0.7165589
TRANSPORTATION, TICKET, 1, acc, 43, 0.0000000
TRANSPORTATION, TICKET, 1, precision, 0, -
TRANSPORTATION, TICKET, 1, recall, 43, 0.0000000
TRANSPORTATION, TICKET, 1, f1, 43, -
TRANSPORTATION, all, 1, acc, 1940, 0.0345361
TRANSPORTATION, all, 1, precision, 4258, 0.4025364
TRANSPORTATION, all, 1, recall, 5677, 0.3019200
TRANSPORTATION, all, 1, f1, 8221, 0.3450428
