topic, slot, schedule, stat, N, result
all, all, 1, acc, 12290, 0.0388934
all, all, 1, precision, 13462, 0.4466647
all, all, 1, recall, 28749, 0.2091551
all, all, 1, f1, 36198, 0.2849020
FOOD, INFO, 1, acc, 1974, 0.2183384
FOOD, INFO, 1, precision, 1032, 0.4835271
FOOD, INFO, 1, recall, 1945, 0.2565553
FOOD, INFO, 1, f1, 2478, 0.3352368
FOOD, CUISINE, 1, acc, 859, 0.1513388
FOOD, CUISINE, 1, precision, 497, 0.2997988
FOOD, CUISINE, 1, recall, 673, 0.2213967
FOOD, CUISINE, 1, f1, 1021, 0.2547009
FOOD, TYPE_OF_PLACE, 1, acc, 472, 0.1906780
FOOD, TYPE_OF_PLACE, 1, precision, 210, 0.4571429
FOOD, TYPE_OF_PLACE, 1, recall, 378, 0.2539683
FOOD, TYPE_OF_PLACE, 1, f1, 492, 0.3265306
FOOD, DRINK, 1, acc, 139, 0.0503597
FOOD, DRINK, 1, precision, 35, 0.2000000
FOOD, DRINK, 1, recall, 112, 0.0625000
FOOD, DRINK, 1, f1, 140, 0.0952381
FOOD, PLACE, 1, acc, 553, 0.0361664
FOOD, PLACE, 1, precision, 112, 0.1785714
FOOD, PLACE, 1, recall, 527, 0.0379507
FOOD, PLACE, 1, f1, 619, 0.0625978
FOOD, MEAL_TIME, 1, acc, 23, 0.0000000
FOOD, MEAL_TIME, 1, precision, 0, -
FOOD, MEAL_TIME, 1, recall, 46, 0.0000000
FOOD, MEAL_TIME, 1, f1, 46, -
FOOD, DISH, 1, acc, 1918, 0.1824818
FOOD, DISH, 1, precision, 1180, 0.3177966
FOOD, DISH, 1, recall, 1865, 0.2010724
FOOD, DISH, 1, f1, 2670, 0.2463054
FOOD, NEIGHBOURHOOD, 1, acc, 360, 0.2750000
FOOD, NEIGHBOURHOOD, 1, precision, 160, 0.6187500
FOOD, NEIGHBOURHOOD, 1, recall, 310, 0.3193548
FOOD, NEIGHBOURHOOD, 1, f1, 371, 0.4212766
FOOD, all, 1, acc, 2683, 0.0406262
FOOD, all, 1, precision, 3226, 0.3859268
FOOD, all, 1, recall, 5856, 0.2126025
FOOD, all, 1, f1, 7837, 0.2741687
ATTRACTION, INFO, 1, acc, 4651, 0.1997420
ATTRACTION, INFO, 1, precision, 2422, 0.4859620
ATTRACTION, INFO, 1, recall, 4948, 0.2378739
ATTRACTION, INFO, 1, f1, 6193, 0.3194030
ATTRACTION, TYPE_OF_PLACE, 1, acc, 1776, 0.2117117
ATTRACTION, TYPE_OF_PLACE, 1, precision, 907, 0.4332966
ATTRACTION, TYPE_OF_PLACE, 1, recall, 1388, 0.2831412
ATTRACTION, TYPE_OF_PLACE, 1, f1, 1902, 0.3424837
ATTRACTION, ACTIVITY, 1, acc, 1125, 0.0000000
ATTRACTION, ACTIVITY, 1, precision, 5, 0.4000000
ATTRACTION, ACTIVITY, 1, recall, 1233, 0.0016221
ATTRACTION, ACTIVITY, 1, f1, 1236, 0.0032310
ATTRACTION, PLACE, 1, acc, 4120, 0.1203883
ATTRACTION, PLACE, 1, precision, 953, 0.5540399
ATTRACTION, PLACE, 1, recall, 3987, 0.1324304
ATTRACTION, PLACE, 1, f1, 4412, 0.2137652
ATTRACTION, TIME, 1, acc, 481, 0.1538462
ATTRACTION, TIME, 1, precision, 365, 0.2082192
ATTRACTION, TIME, 1, recall, 300, 0.2533333
ATTRACTION, TIME, 1, f1, 589, 0.2285714
ATTRACTION, NEIGHBOURHOOD, 1, acc, 1938, 0.3080495
ATTRACTION, NEIGHBOURHOOD, 1, precision, 870, 0.7183908
ATTRACTION, NEIGHBOURHOOD, 1, recall, 1843, 0.3391210
ATTRACTION, NEIGHBOURHOOD, 1, f1, 2088, 0.4607446
ATTRACTION, all, 1, acc, 5949, 0.0347958
ATTRACTION, all, 1, precision, 5522, 0.5072438
