topic, slot, schedule, stat, N, result
all, all, 1, acc, 12290, 0.0340114
all, all, 1, precision, 18685, 0.3896709
all, all, 1, recall, 28749, 0.2532610
all, all, 1, f1, 40153, 0.3069950
FOOD, INFO, 1, acc, 1966, 0.3092574
FOOD, INFO, 1, precision, 1166, 0.6046312
FOOD, INFO, 1, recall, 1945, 0.3624679
FOOD, INFO, 1, f1, 2406, 0.4532305
FOOD, CUISINE, 1, acc, 886, 0.1534989
FOOD, CUISINE, 1, precision, 482, 0.3070539
FOOD, CUISINE, 1, recall, 673, 0.2199108
FOOD, CUISINE, 1, f1, 1007, 0.2562771
FOOD, TYPE_OF_PLACE, 1, acc, 588, 0.2431973
FOOD, TYPE_OF_PLACE, 1, precision, 382, 0.3900524
FOOD, TYPE_OF_PLACE, 1, recall, 378, 0.3941799
FOOD, TYPE_OF_PLACE, 1, f1, 611, 0.3921053
FOOD, DRINK, 1, acc, 288, 0.1493056
FOOD, DRINK, 1, precision, 239, 0.1799163
FOOD, DRINK, 1, recall, 112, 0.3839286
FOOD, DRINK, 1, f1, 308, 0.2450142
FOOD, PLACE, 1, acc, 829, 0.0530760
FOOD, PLACE, 1, precision, 458, 0.0960699
FOOD, PLACE, 1, recall, 527, 0.0834915
FOOD, PLACE, 1, f1, 941, 0.0893401
FOOD, MEAL_TIME, 1, acc, 179, 0.0055866
FOOD, MEAL_TIME, 1, precision, 171, 0.0760234
FOOD, MEAL_TIME, 1, recall, 46, 0.2826087
FOOD, MEAL_TIME, 1, f1, 204, 0.1198157
FOOD, DISH, 1, acc, 1800, 0.1616667
FOOD, DISH, 1, precision, 708, 0.4223164
FOOD, DISH, 1, recall, 1865, 0.1603217
FOOD, DISH, 1, f1, 2274, 0.2324135
FOOD, NEIGHBOURHOOD, 1, acc, 360, 0.2388889
FOOD, NEIGHBOURHOOD, 1, precision, 145, 0.5931034
FOOD, NEIGHBOURHOOD, 1, recall, 310, 0.2774194
FOOD, NEIGHBOURHOOD, 1, f1, 369, 0.3780220
FOOD, all, 1, acc, 2683, 0.0365263
FOOD, all, 1, precision, 3751, 0.3964276
FOOD, all, 1, recall, 5856, 0.2539276
FOOD, all, 1, f1, 8120, 0.3095659
ATTRACTION, INFO, 1, acc, 4685, 0.2189968
ATTRACTION, INFO, 1, precision, 2709, 0.4891104
ATTRACTION, INFO, 1, recall, 4948, 0.2677850
ATTRACTION, INFO, 1, f1, 6332, 0.3460885
ATTRACTION, TYPE_OF_PLACE, 1, acc, 2284, 0.2123468
ATTRACTION, TYPE_OF_PLACE, 1, precision, 1631, 0.3114654
ATTRACTION, TYPE_OF_PLACE, 1, recall, 1388, 0.3659942
ATTRACTION, TYPE_OF_PLACE, 1, f1, 2511, 0.3365353
ATTRACTION, ACTIVITY, 1, acc, 1826, 0.1133625
ATTRACTION, ACTIVITY, 1, precision, 1052, 0.2252852
ATTRACTION, ACTIVITY, 1, recall, 1233, 0.1922141
ATTRACTION, ACTIVITY, 1, f1, 2048, 0.2074398
ATTRACTION, PLACE, 1, acc, 4333, 0.1848604
ATTRACTION, PLACE, 1, precision, 1877, 0.4469899
ATTRACTION, PLACE, 1, recall, 3987, 0.2104339
ATTRACTION, PLACE, 1, f1, 5025, 0.2861528
ATTRACTION, TIME, 1, acc, 431, 0.0812065
ATTRACTION, TIME, 1, precision, 273, 0.1355311
ATTRACTION, TIME, 1, recall, 300, 0.1233333
ATTRACTION, TIME, 1, f1, 536, 0.1291449
ATTRACTION, NEIGHBOURHOOD, 1, acc, 1914, 0.3166144
ATTRACTION, NEIGHBOURHOOD, 1, precision, 869, 0.7318757
ATTRACTION, NEIGHBOURHOOD, 1, recall, 1843, 0.3450895
ATTRACTION, NEIGHBOURHOOD, 1, f1, 2076, 0.4690265
ATTRACTION, all, 1, acc, 5949, 0.0386620
ATTRACTION, all, 1, precision, 8411, 0.4258709
ATTRACTION, all, 1, recall, 13699, 0.2614789
ATTRACTION, all, 1, f1, 18528, 0.3240163
TRANSPORTATION, INFO, 1, acc, 1272, 0.1761006
TRANSPORTATION, INFO, 1, precision, 497, 0.4748491
TRANSPORTATION, INFO, 1, recall, 1195, 0.1974895
TRANSPORTATION, INFO, 1, f1, 1456, 0.2789598
TRANSPORTATION, FROM, 1, acc, 1230, 0.0829268
TRANSPORTATION, FROM, 1, precision, 735, 0.1387755
TRANSPORTATION, FROM, 1, recall, 1055, 0.0966825
TRANSPORTATION, FROM, 1, f1, 1688, 0.1139665
TRANSPORTATION, TO, 1, acc, 1202, 0.1089850
TRANSPORTATION, TO, 1, precision, 571, 0.2311734
TRANSPORTATION, TO, 1, recall, 1081, 0.1221092
TRANSPORTATION, TO, 1, f1, 1520, 0.1598063
TRANSPORTATION, STATION, 1, acc, 1140, 0.0657895
TRANSPORTATION, STATION, 1, precision, 1072, 0.0699627
TRANSPORTATION, STATION, 1, recall, 269, 0.2788104
TRANSPORTATION, STATION, 1, f1, 1266, 0.1118568
TRANSPORTATION, LINE, 1, acc, 242, 0.1074380
TRANSPORTATION, LINE, 1, precision, 42, 0.6190476
TRANSPORTATION, LINE, 1, recall, 263, 0.0988593
TRANSPORTATION, LINE, 1, f1, 279, 0.1704918
TRANSPORTATION, TYPE, 1, acc, 1791, 0.3981016
TRANSPORTATION, TYPE, 1, precision, 1000, 0.7540000
TRANSPORTATION, TYPE, 1, recall, 1771, 0.4257482
TRANSPORTATION, TYPE, 1, f1, 2017, 0.5442079
TRANSPORTATION, TICKET, 1, acc, 61, 0.2950820
TRANSPORTATION, TICKET, 1, precision, 36, 0.5000000
TRANSPORTATION, TICKET, 1, recall, 43, 0.4186047
TRANSPORTATION, TICKET, 1, f1, 61, 0.4556962
TRANSPORTATION, all, 1, acc, 1940, 0.0211340
TRANSPORTATION, all, 1, precision, 3953, 0.3397420
TRANSPORTATION, all, 1, recall, 5677, 0.2365686
