topic, slot, schedule, stat, N, result
all, all, 1, acc, 12290, 0.0249797
all, all, 1, precision, 27597, 0.1147589
all, all, 1, recall, 28749, 0.1101604
all, all, 1, f1, 53179, 0.1124126
FOOD, INFO, 1, acc, 1741, 0.0000000
FOOD, INFO, 1, precision, 270, 0.0000000
FOOD, INFO, 1, recall, 1945, 0.0000000
FOOD, INFO, 1, f1, 2215, -
FOOD, CUISINE, 1, acc, 685, 0.1313869
FOOD, CUISINE, 1, precision, 1097, 0.0838651
FOOD, CUISINE, 1, recall, 673, 0.1367013
FOOD, CUISINE, 1, f1, 1678, 0.1039548
FOOD, TYPE_OF_PLACE, 1, acc, 437, 0.1212815
FOOD, TYPE_OF_PLACE, 1, precision, 158, 0.3734177
FOOD, TYPE_OF_PLACE, 1, recall, 378, 0.1560847
FOOD, TYPE_OF_PLACE, 1, f1, 477, 0.2201493
FOOD, DRINK, 1, acc, 155, 0.0838710
FOOD, DRINK, 1, precision, 239, 0.0836820
FOOD, DRINK, 1, recall, 112, 0.1785714
FOOD, DRINK, 1, f1, 331, 0.1139601
FOOD, PLACE, 1, acc, 719, 0.0194715
FOOD, PLACE, 1, precision, 8185, 0.0017104
FOOD, PLACE, 1, recall, 527, 0.0265655
FOOD, PLACE, 1, f1, 8698, 0.0032140
FOOD, MEAL_TIME, 1, acc, 126, 0.0238095
FOOD, MEAL_TIME, 1, precision, 118, 0.1271186
FOOD, MEAL_TIME, 1, recall, 46, 0.3260870
FOOD, MEAL_TIME, 1, f1, 149, 0.1829268
FOOD, DISH, 1, acc, 1825, 0.1397260
FOOD, DISH, 1, precision, 1797, 0.1741792
FOOD, DISH, 1, recall, 1865, 0.1678284
FOOD, DISH, 1, f1, 3349, 0.1709448
FOOD, NEIGHBOURHOOD, 1, acc, 397, 0.2367758
FOOD, NEIGHBOURHOOD, 1, precision, 1511, 0.0641959
FOOD, NEIGHBOURHOOD, 1, recall, 310, 0.3129032
FOOD, NEIGHBOURHOOD, 1, f1, 1724, 0.1065349
FOOD, all, 1, acc, 2683, 0.0342900
FOOD, all, 1, precision, 13375, 0.0456075
FOOD, all, 1, recall, 5856, 0.1041667
FOOD, all, 1, f1, 18621, 0.0634392
ATTRACTION, INFO, 1, acc, 4233, 0.0061422
ATTRACTION, INFO, 1, precision, 619, 0.1421648
ATTRACTION, INFO, 1, recall, 4948, 0.0177850
ATTRACTION, INFO, 1, f1, 5479, 0.0316149
ATTRACTION, TYPE_OF_PLACE, 1, acc, 1891, 0.1692226
ATTRACTION, TYPE_OF_PLACE, 1, precision, 1305, 0.2804598
ATTRACTION, TYPE_OF_PLACE, 1, recall, 1388, 0.2636888
