task, subtask, schedule, stat, N, result
SLU, speech_act, all, precision, 4085, 0.502570379437
SLU, speech_act, all, recall, 4579, 0.448351168377
SLU, speech_act, all, f1, 6611, 0.473915050785
SLU, speech_act, act, precision, 4085, 0.799020807834
SLU, speech_act, act, recall, 4093, 0.797459076472
SLU, speech_act, act, f1, 4914, 0.798239178283
SLU, semantic_tagged, detection, precision, 1261, 0.739888977002
SLU, semantic_tagged, detection, recall, 2061, 0.45269286754
SLU, semantic_tagged, detection, f1, 2389, 0.561709813365
SLU, semantic_tagged, all, precision, 1261, 0.508326724822
SLU, semantic_tagged, all, recall, 2061, 0.311014070839
SLU, semantic_tagged, all, f1, 2681, 0.385912101144
SLU, semantic_tagged, class, precision, 1261, 0.661379857256
SLU, semantic_tagged, class, recall, 2061, 0.404657933042
SLU, semantic_tagged, class, f1, 2488, 0.502107164359
