task, subtask, schedule, stat, N, result
SLU, speech_act, all, precision, 4193, 0.449797281183
SLU, speech_act, all, recall, 4579, 0.411880323215
SLU, speech_act, all, f1, 6886, 0.430004559964
SLU, speech_act, act, precision, 4100, 0.706341463415
SLU, speech_act, act, recall, 4093, 0.707549474713
SLU, speech_act, act, f1, 5297, 0.706944953009
SLU, semantic_tagged, detection, precision, 1013, 0.794669299112
SLU, semantic_tagged, detection, recall, 2061, 0.390587093644
SLU, semantic_tagged, detection, f1, 2269, 0.523747560182
SLU, semantic_tagged, all, precision, 1013, 0.533070088845
SLU, semantic_tagged, all, recall, 2061, 0.262008733624
SLU, semantic_tagged, all, f1, 2534, 0.351333767079
SLU, semantic_tagged, class, precision, 1013, 0.699901283317
SLU, semantic_tagged, class, recall, 2061, 0.344007763222
SLU, semantic_tagged, class, f1, 2365, 0.461288223813
