task, subtask, schedule, stat, N, result
SLU, speech_act, all, precision, 8698, 0.427914463095
SLU, speech_act, all, recall, 10389, 0.358263547983
SLU, speech_act, all, f1, 15365, 0.390003667418
SLU, speech_act, act, precision, 8590, 0.7075669383
SLU, speech_act, act, recall, 8562, 0.709880868956
SLU, speech_act, act, f1, 11074, 0.708722014925
SLU, semantic_tagged, detection, precision, 7296, 0.760690789474
SLU, semantic_tagged, detection, recall, 10663, 0.520491418925
SLU, semantic_tagged, detection, f1, 12409, 0.618074503035
SLU, semantic_tagged, all, precision, 7296, 0.465049342105
SLU, semantic_tagged, all, recall, 10663, 0.318203132327
SLU, semantic_tagged, all, f1, 14566, 0.377860682666
SLU, semantic_tagged, class, precision, 7296, 0.624588815789
SLU, semantic_tagged, class, recall, 10663, 0.427365656945
SLU, semantic_tagged, class, f1, 13402, 0.50748928114
