topic, slot, schedule, stat, N, result
all, all, 1, acc, 12290, 0.0340928
all, all, 1, precision, 20581, 0.2926486
all, all, 1, recall, 28749, 0.2095029
all, all, 1, f1, 43307, 0.2441922
FOOD, INFO, 1, acc, 1887, 0.1595125
FOOD, INFO, 1, precision, 809, 0.4857849
FOOD, INFO, 1, recall, 1945, 0.2020566
FOOD, INFO, 1, f1, 2361, 0.2854031
FOOD, CUISINE, 1, acc, 1053, 0.1785375
FOOD, CUISINE, 1, precision, 876, 0.2808219
FOOD, CUISINE, 1, recall, 673, 0.3655275
FOOD, CUISINE, 1, f1, 1303, 0.3176243
FOOD, TYPE_OF_PLACE, 1, acc, 469, 0.1449893
FOOD, TYPE_OF_PLACE, 1, precision, 220, 0.3727273
FOOD, TYPE_OF_PLACE, 1, recall, 378, 0.2169312
FOOD, TYPE_OF_PLACE, 1, f1, 516, 0.2742475
FOOD, DRINK, 1, acc, 357, 0.0952381
FOOD, DRINK, 1, precision, 323, 0.1640867
FOOD, DRINK, 1, recall, 112, 0.4732143
FOOD, DRINK, 1, f1, 382, 0.2436782
FOOD, PLACE, 1, acc, 741, 0.0296896
FOOD, PLACE, 1, precision, 321, 0.0841121
FOOD, PLACE, 1, recall, 527, 0.0512334
FOOD, PLACE, 1, f1, 821, 0.0636792
FOOD, MEAL_TIME, 1, acc, 150, 0.0466667
FOOD, MEAL_TIME, 1, precision, 160, 0.2062500
FOOD, MEAL_TIME, 1, recall, 46, 0.7173913
FOOD, MEAL_TIME, 1, f1, 173, 0.3203883
FOOD, DISH, 1, acc, 1879, 0.0979244
FOOD, DISH, 1, precision, 1656, 0.2161836
FOOD, DISH, 1, recall, 1865, 0.1919571
FOOD, DISH, 1, f1, 3163, 0.2033513
FOOD, NEIGHBOURHOOD, 1, acc, 369, 0.2710027
FOOD, NEIGHBOURHOOD, 1, precision, 162, 0.6172840
FOOD, NEIGHBOURHOOD, 1, recall, 310, 0.3225806
FOOD, NEIGHBOURHOOD, 1, f1, 372, 0.4237288
FOOD, all, 1, acc, 2683, 0.0242266
FOOD, all, 1, precision, 4527, 0.2853987
FOOD, all, 1, recall, 5856, 0.2206284
FOOD, all, 1, f1, 9091, 0.2488683
ATTRACTION, INFO, 1, acc, 4842, 0.0532838
ATTRACTION, INFO, 1, precision, 4682, 0.1458778
ATTRACTION, INFO, 1, recall, 4948, 0.1380356
