topic, slot, schedule, stat, N, result
all, all, 1, acc, 12290, 0.0350692
all, all, 1, precision, 13541, 0.3216158
all, all, 1, recall, 28749, 0.1514835
all, all, 1, f1, 37935, 0.2059589
FOOD, INFO, 1, acc, 1739, 0.0000000
FOOD, INFO, 1, precision, 100, 0.0000000
FOOD, INFO, 1, recall, 1945, 0.0000000
FOOD, INFO, 1, f1, 2045, -
FOOD, CUISINE, 1, acc, 700, 0.1457143
FOOD, CUISINE, 1, precision, 255, 0.4078431
FOOD, CUISINE, 1, recall, 673, 0.1545319
FOOD, CUISINE, 1, f1, 824, 0.2241379
FOOD, TYPE_OF_PLACE, 1, acc, 444, 0.1193694
FOOD, TYPE_OF_PLACE, 1, precision, 137, 0.4306569
FOOD, TYPE_OF_PLACE, 1, recall, 378, 0.1560847
FOOD, TYPE_OF_PLACE, 1, f1, 456, 0.2291262
FOOD, DRINK, 1, acc, 165, 0.1818182
FOOD, DRINK, 1, precision, 84, 0.3571429
FOOD, DRINK, 1, recall, 112, 0.2678571
FOOD, DRINK, 1, f1, 166, 0.3061224
FOOD, PLACE, 1, acc, 864, 0.0416667
FOOD, PLACE, 1, precision, 578, 0.0709343
FOOD, PLACE, 1, recall, 527, 0.0777989
FOOD, PLACE, 1, f1, 1064, 0.0742081
FOOD, MEAL_TIME, 1, acc, 126, 0.0238095
FOOD, MEAL_TIME, 1, precision, 118, 0.1271186
FOOD, MEAL_TIME, 1, recall, 46, 0.3260870
FOOD, MEAL_TIME, 1, f1, 149, 0.1829268
FOOD, DISH, 1, acc, 1838, 0.1441785
FOOD, DISH, 1, precision, 733, 0.4502046
FOOD, DISH, 1, recall, 1865, 0.1769437
FOOD, DISH, 1, f1, 2268, 0.2540416
FOOD, NEIGHBOURHOOD, 1, acc, 406, 0.2315271
FOOD, NEIGHBOURHOOD, 1, precision, 206, 0.4708738
FOOD, NEIGHBOURHOOD, 1, recall, 310, 0.3129032
FOOD, NEIGHBOURHOOD, 1, f1, 419, 0.3759690
FOOD, all, 1, acc, 2683, 0.0357808
FOOD, all, 1, precision, 2211, 0.3057440
FOOD, all, 1, recall, 5856, 0.1154372
FOOD, all, 1, f1, 7391, 0.1675964
ATTRACTION, INFO, 1, acc, 4232, 0.0061437
ATTRACTION, INFO, 1, precision, 331, 0.2598187
ATTRACTION, INFO, 1, recall, 4948, 0.0173808
ATTRACTION, INFO, 1, f1, 5193, 0.0325819
ATTRACTION, TYPE_OF_PLACE, 1, acc, 1869, 0.1728197
ATTRACTION, TYPE_OF_PLACE, 1, precision, 970, 0.3587629
ATTRACTION, TYPE_OF_PLACE, 1, recall, 1388, 0.2507205
ATTRACTION, TYPE_OF_PLACE, 1, f1, 2010, 0.2951654
ATTRACTION, ACTIVITY, 1, acc, 1571, 0.0693826
ATTRACTION, ACTIVITY, 1, precision, 800, 0.1775000
ATTRACTION, ACTIVITY, 1, recall, 1233, 0.1151663
ATTRACTION, ACTIVITY, 1, f1, 1891, 0.1396950
ATTRACTION, PLACE, 1, acc, 4110, 0.1372263
ATTRACTION, PLACE, 1, precision, 1538, 0.4258778
ATTRACTION, PLACE, 1, recall, 3987, 0.1642839
ATTRACTION, PLACE, 1, f1, 4870, 0.2371041
ATTRACTION, TIME, 1, acc, 473, 0.0507400
ATTRACTION, TIME, 1, precision, 339, 0.1091445
ATTRACTION, TIME, 1, recall, 300, 0.1233333
ATTRACTION, TIME, 1, f1, 602, 0.1158059
ATTRACTION, NEIGHBOURHOOD, 1, acc, 2340, 0.2670940
ATTRACTION, NEIGHBOURHOOD, 1, precision, 1469, 0.4812798
ATTRACTION, NEIGHBOURHOOD, 1, recall, 1843, 0.3836137
ATTRACTION, NEIGHBOURHOOD, 1, f1, 2605, 0.4269324
ATTRACTION, all, 1, acc, 5949, 0.0393343
ATTRACTION, all, 1, precision, 5447, 0.3625849
ATTRACTION, all, 1, recall, 13699, 0.1441711
ATTRACTION, all, 1, f1, 17171, 0.2063094
TRANSPORTATION, INFO, 1, acc, 1132, 0.0697880
TRANSPORTATION, INFO, 1, precision, 106, 0.7452830
TRANSPORTATION, INFO, 1, recall, 1195, 0.0661088
TRANSPORTATION, INFO, 1, f1, 1222, 0.1214450
TRANSPORTATION, FROM, 1, acc, 1321, 0.0552612
TRANSPORTATION, FROM, 1, precision, 1307, 0.0856924
TRANSPORTATION, FROM, 1, recall, 1055, 0.1061611
TRANSPORTATION, FROM, 1, f1, 2250, 0.0948349
TRANSPORTATION, TO, 1, acc, 1309, 0.0542399
TRANSPORTATION, TO, 1, precision, 1297, 0.1040864
TRANSPORTATION, TO, 1, recall, 1081, 0.1248844
TRANSPORTATION, TO, 1, f1, 2243, 0.1135408
TRANSPORTATION, STATION, 1, acc, 424, 0.1084906
TRANSPORTATION, STATION, 1, precision, 243, 0.2181070
TRANSPORTATION, STATION, 1, recall, 269, 0.1970260
TRANSPORTATION, STATION, 1, f1, 459, 0.2070313
TRANSPORTATION, LINE, 1, acc, 244, 0.0901639
TRANSPORTATION, LINE, 1, precision, 56, 0.5000000
TRANSPORTATION, LINE, 1, recall, 263, 0.1064639
TRANSPORTATION, LINE, 1, f1, 291, 0.1755486
TRANSPORTATION, TYPE, 1, acc, 1769, 0.3973997
TRANSPORTATION, TYPE, 1, precision, 1135, 0.7330396
TRANSPORTATION, TYPE, 1, recall, 1771, 0.4697911
TRANSPORTATION, TYPE, 1, f1, 2074, 0.5726084
TRANSPORTATION, TICKET, 1, acc, 43, 0.0000000
TRANSPORTATION, TICKET, 1, precision, 0, -
TRANSPORTATION, TICKET, 1, recall, 43, 0.0000000
TRANSPORTATION, TICKET, 1, f1, 43, -
TRANSPORTATION, all, 1, acc, 1940, 0.0340206
TRANSPORTATION, all, 1, precision, 4144, 0.2989865
TRANSPORTATION, all, 1, recall, 5677, 0.2182491
TRANSPORTATION, all, 1, f1, 8582, 0.2523165
SHOPPING, INFO, 1, acc, 536, 0.0149254
SHOPPING, INFO, 1, precision, 8, 1.0000000
SHOPPING, INFO, 1, recall, 603, 0.0132670
SHOPPING, INFO, 1, f1, 603, 0.0261866
SHOPPING, TYPE_OF_PLACE, 1, acc, 370, 0.1297297
SHOPPING, TYPE_OF_PLACE, 1, precision, 174, 0.3160920
SHOPPING, TYPE_OF_PLACE, 1, recall, 331, 0.1661631
SHOPPING, TYPE_OF_PLACE, 1, f1, 450, 0.2178218
SHOPPING, PLACE, 1, acc, 398, 0.0703518
SHOPPING, PLACE, 1, precision, 264, 0.1704545
SHOPPING, PLACE, 1, recall, 277, 0.1624549
SHOPPING, PLACE, 1, f1, 496, 0.1663586
SHOPPING, NEIGHBOURHOOD, 1, acc, 405, 0.3432099
SHOPPING, NEIGHBOURHOOD, 1, precision, 227, 0.6255507
SHOPPING, NEIGHBOURHOOD, 1, recall, 330, 0.4303030
SHOPPING, NEIGHBOURHOOD, 1, f1, 415, 0.5098743
SHOPPING, TIME, 1, acc, 42, 0.0000000
SHOPPING, TIME, 1, precision, 42, 0.0000000
SHOPPING, TIME, 1, recall, 0, -
SHOPPING, TIME, 1, f1, 42, -
SHOPPING, all, 1, acc, 745, 0.0040268
SHOPPING, all, 1, precision, 715, 0.3496503
SHOPPING, all, 1, recall, 1541, 0.1622323
SHOPPING, all, 1, f1, 2006, 0.2216312
ACCOMMODATION, INFO, 1, acc, 804, 0.0062189
ACCOMMODATION, INFO, 1, precision, 5, 1.0000000
ACCOMMODATION, INFO, 1, recall, 917, 0.0054526
ACCOMMODATION, INFO, 1, f1, 917, 0.0108460
ACCOMMODATION, TYPE_OF_PLACE, 1, acc, 553, 0.1518987
ACCOMMODATION, TYPE_OF_PLACE, 1, precision, 554, 0.1516245
ACCOMMODATION, TYPE_OF_PLACE, 1, recall, 140, 0.6000000
ACCOMMODATION, TYPE_OF_PLACE, 1, f1, 610, 0.2420749
ACCOMMODATION, PLACE, 1, acc, 796, 0.0979899
ACCOMMODATION, PLACE, 1, precision, 210, 0.4095238
ACCOMMODATION, PLACE, 1, recall, 782, 0.1099744
ACCOMMODATION, PLACE, 1, f1, 906, 0.1733871
