topic, slot, schedule, stat, N, result
all, all, 1, acc, 12290, 0.0698942
all, all, 1, precision, 20292, 0.4862015
all, all, 1, recall, 28749, 0.3431772
all, all, 1, f1, 39175, 0.4023572
FOOD, INFO, 1, acc, 1860, 0.2989247
FOOD, INFO, 1, precision, 1029, 0.6482021
FOOD, INFO, 1, recall, 1945, 0.3429306
FOOD, INFO, 1, f1, 2307, 0.4485541
FOOD, CUISINE, 1, acc, 738, 0.1490515
FOOD, CUISINE, 1, precision, 320, 0.3968750
FOOD, CUISINE, 1, recall, 673, 0.1887073
FOOD, CUISINE, 1, f1, 866, 0.2557905
FOOD, TYPE_OF_PLACE, 1, acc, 444, 0.2860360
FOOD, TYPE_OF_PLACE, 1, precision, 229, 0.6200873
FOOD, TYPE_OF_PLACE, 1, recall, 378, 0.3756614
FOOD, TYPE_OF_PLACE, 1, f1, 465, 0.4678748
FOOD, DRINK, 1, acc, 126, 0.0317460
FOOD, DRINK, 1, precision, 18, 0.2222222
FOOD, DRINK, 1, recall, 112, 0.0357143
FOOD, DRINK, 1, f1, 126, 0.0615385
FOOD, PLACE, 1, acc, 545, 0.0000000
FOOD, PLACE, 1, precision, 73, 0.0000000
FOOD, PLACE, 1, recall, 527, 0.0000000
FOOD, PLACE, 1, f1, 600, -
FOOD, MEAL_TIME, 1, acc, 35, 0.0857143
FOOD, MEAL_TIME, 1, precision, 20, 0.4000000
FOOD, MEAL_TIME, 1, recall, 46, 0.1739130
FOOD, MEAL_TIME, 1, f1, 58, 0.2424242
FOOD, DISH, 1, acc, 1869, 0.1915463
FOOD, DISH, 1, precision, 954, 0.5167715
FOOD, DISH, 1, recall, 1865, 0.2643432
FOOD, DISH, 1, f1, 2326, 0.3497694
FOOD, NEIGHBOURHOOD, 1, acc, 341, 0.0674487
FOOD, NEIGHBOURHOOD, 1, precision, 65, 0.3538462
FOOD, NEIGHBOURHOOD, 1, recall, 310, 0.0741935
FOOD, NEIGHBOURHOOD, 1, f1, 352, 0.1226667
FOOD, all, 1, acc, 2683, 0.0626165
FOOD, all, 1, precision, 2708, 0.5406204
FOOD, all, 1, recall, 5856, 0.2500000
FOOD, all, 1, f1, 7100, 0.3418963
ATTRACTION, INFO, 1, acc, 4668, 0.2662811
ATTRACTION, INFO, 1, precision, 4160, 0.5682692
ATTRACTION, INFO, 1, recall, 4948, 0.4777688
ATTRACTION, INFO, 1, f1, 6744, 0.5191041
ATTRACTION, TYPE_OF_PLACE, 1, acc, 1620, 0.2240741
ATTRACTION, TYPE_OF_PLACE, 1, precision, 811, 0.4932182
ATTRACTION, TYPE_OF_PLACE, 1, recall, 1388, 0.2881844
ATTRACTION, TYPE_OF_PLACE, 1, f1, 1799, 0.3638017
ATTRACTION, ACTIVITY, 1, acc, 1773, 0.1314157
ATTRACTION, ACTIVITY, 1, precision, 1085, 0.2626728
ATTRACTION, ACTIVITY, 1, recall, 1233, 0.2311436
ATTRACTION, ACTIVITY, 1, f1, 2033, 0.2459016
ATTRACTION, PLACE, 1, acc, 4535, 0.2357222
ATTRACTION, PLACE, 1, precision, 4523, 0.3628123
ATTRACTION, PLACE, 1, recall, 3987, 0.4115877
ATTRACTION, PLACE, 1, f1, 6869, 0.3856639
ATTRACTION, TIME, 1, acc, 296, 0.0439189
ATTRACTION, TIME, 1, precision, 75, 0.4533333
ATTRACTION, TIME, 1, recall, 300, 0.1133333
ATTRACTION, TIME, 1, f1, 341, 0.1813333
ATTRACTION, NEIGHBOURHOOD, 1, acc, 1917, 0.3197705
ATTRACTION, NEIGHBOURHOOD, 1, precision, 944, 0.7213983
ATTRACTION, NEIGHBOURHOOD, 1, recall, 1843, 0.3695062
ATTRACTION, NEIGHBOURHOOD, 1, f1, 2106, 0.4886975
ATTRACTION, all, 1, acc, 5949, 0.0776601
ATTRACTION, all, 1, precision, 11598, 0.4660286
ATTRACTION, all, 1, recall, 13699, 0.3945543
ATTRACTION, all, 1, f1, 19892, 0.4273234
TRANSPORTATION, INFO, 1, acc, 1234, 0.2779579
TRANSPORTATION, INFO, 1, precision, 567, 0.6948854
TRANSPORTATION, INFO, 1, recall, 1195, 0.3297071
TRANSPORTATION, INFO, 1, f1, 1368, 0.4472191
TRANSPORTATION, FROM, 1, acc, 1195, 0.0669456
TRANSPORTATION, FROM, 1, precision, 818, 0.1907090
TRANSPORTATION, FROM, 1, recall, 1055, 0.1478673
TRANSPORTATION, FROM, 1, f1, 1717, 0.1665777
TRANSPORTATION, TO, 1, acc, 1251, 0.0743405
TRANSPORTATION, TO, 1, precision, 987, 0.1651469
TRANSPORTATION, TO, 1, recall, 1081, 0.1507863
TRANSPORTATION, TO, 1, f1, 1905, 0.1576402
TRANSPORTATION, STATION, 1, acc, 313, 0.0702875
TRANSPORTATION, STATION, 1, precision, 75, 0.2933333
TRANSPORTATION, STATION, 1, recall, 269, 0.0817844
TRANSPORTATION, STATION, 1, f1, 322, 0.1279070
TRANSPORTATION, LINE, 1, acc, 255, 0.2784314
TRANSPORTATION, LINE, 1, precision, 141, 0.6737589
TRANSPORTATION, LINE, 1, recall, 263, 0.3612167
TRANSPORTATION, LINE, 1, f1, 309, 0.4702970
TRANSPORTATION, TYPE, 1, acc, 1815, 0.6407713
TRANSPORTATION, TYPE, 1, precision, 1548, 0.8094315
TRANSPORTATION, TYPE, 1, recall, 1771, 0.7075099
TRANSPORTATION, TYPE, 1, f1, 2066, 0.7550467
TRANSPORTATION, TICKET, 1, acc, 46, 0.3478261
TRANSPORTATION, TICKET, 1, precision, 19, 0.8421053
TRANSPORTATION, TICKET, 1, recall, 43, 0.3720930
TRANSPORTATION, TICKET, 1, f1, 46, 0.5161290
TRANSPORTATION, all, 1, acc, 1940, 0.0731959
TRANSPORTATION, all, 1, precision, 4155, 0.5051745
TRANSPORTATION, all, 1, recall, 5677, 0.3697375
TRANSPORTATION, all, 1, f1, 7733, 0.4269731
SHOPPING, INFO, 1, acc, 551, 0.1905626
SHOPPING, INFO, 1, precision, 159, 0.7735849
SHOPPING, INFO, 1, recall, 603, 0.2039801
SHOPPING, INFO, 1, f1, 639, 0.3228346
SHOPPING, TYPE_OF_PLACE, 1, acc, 455, 0.2945055
SHOPPING, TYPE_OF_PLACE, 1, precision, 306, 0.4509804
SHOPPING, TYPE_OF_PLACE, 1, recall, 331, 0.4169184
SHOPPING, TYPE_OF_PLACE, 1, f1, 499, 0.4332810
SHOPPING, PLACE, 1, acc, 308, 0.1655844
SHOPPING, PLACE, 1, precision, 120, 0.4500000
SHOPPING, PLACE, 1, recall, 277, 0.1949458
SHOPPING, PLACE, 1, f1, 343, 0.2720403
SHOPPING, NEIGHBOURHOOD, 1, acc, 353, 0.0906516
SHOPPING, NEIGHBOURHOOD, 1, precision, 72, 0.5138889
SHOPPING, NEIGHBOURHOOD, 1, recall, 330, 0.1121212
SHOPPING, NEIGHBOURHOOD, 1, f1, 365, 0.1840796
SHOPPING, TIME, 1, acc, 0, -
SHOPPING, TIME, 1, precision, 0, -
SHOPPING, TIME, 1, recall, 0, -
SHOPPING, TIME, 1, f1, 0, -
SHOPPING, all, 1, acc, 745, 0.0590604
SHOPPING, all, 1, precision, 657, 0.5357686
SHOPPING, all, 1, recall, 1541, 0.2284231
SHOPPING, all, 1, f1, 1846, 0.3202912
ACCOMMODATION, INFO, 1, acc, 841, 0.4185493
ACCOMMODATION, INFO, 1, precision, 681, 0.6901615
ACCOMMODATION, INFO, 1, recall, 917, 0.5125409
ACCOMMODATION, INFO, 1, f1, 1128, 0.5882353
ACCOMMODATION, TYPE_OF_PLACE, 1, acc, 174, 0.0229885
ACCOMMODATION, TYPE_OF_PLACE, 1, precision, 50, 0.0800000
ACCOMMODATION, TYPE_OF_PLACE, 1, recall, 140, 0.0285714
ACCOMMODATION, TYPE_OF_PLACE, 1, f1, 186, 0.0421053
ACCOMMODATION, PLACE, 1, acc, 772, 0.0336788
ACCOMMODATION, PLACE, 1, precision, 322, 0.1055901
ACCOMMODATION, PLACE, 1, recall, 782, 0.0434783
ACCOMMODATION, PLACE, 1, f1, 1070, 0.0615942
ACCOMMODATION, NEIGHBOURHOOD, 1, acc, 216, 0.1759259
ACCOMMODATION, NEIGHBOURHOOD, 1, precision, 121, 0.3140496
ACCOMMODATION, NEIGHBOURHOOD, 1, recall, 137, 0.2773723
ACCOMMODATION, NEIGHBOURHOOD, 1, f1, 220, 0.2945736
ACCOMMODATION, all, 1, acc, 973, 0.0441932
ACCOMMODATION, all, 1, precision, 1174, 0.4650767
ACCOMMODATION, all, 1, recall, 1976, 0.2763158
ACCOMMODATION, all, 1, f1, 2604, 0.3466667
all, all, 2, acc, 1307, 0.0872226
all, all, 2, precision, 2119, 0.5427088
all, all, 2, recall, 2993, 0.3842299
all, all, 2, f1, 3962, 0.4499218
FOOD, INFO, 2, acc, 171, 0.3391813
FOOD, INFO, 2, precision, 97, 0.6907216
FOOD, INFO, 2, recall, 178, 0.3764045
FOOD, INFO, 2, f1, 208, 0.4872727
FOOD, CUISINE, 2, acc, 81, 0.1604938
FOOD, CUISINE, 2, precision, 36, 0.4166667
FOOD, CUISINE, 2, recall, 75, 0.2000000
FOOD, CUISINE, 2, f1, 96, 0.2702703
FOOD, TYPE_OF_PLACE, 2, acc, 43, 0.3255814
FOOD, TYPE_OF_PLACE, 2, precision, 26, 0.6153846
FOOD, TYPE_OF_PLACE, 2, recall, 36, 0.4444444
FOOD, TYPE_OF_PLACE, 2, f1, 46, 0.5161290
FOOD, DRINK, 2, acc, 10, 0.1000000
FOOD, DRINK, 2, precision, 1, 1.0000000
FOOD, DRINK, 2, recall, 10, 0.1000000
FOOD, DRINK, 2, f1, 10, 0.1818182
FOOD, PLACE, 2, acc, 64, 0.0000000
FOOD, PLACE, 2, precision, 3, 0.0000000
FOOD, PLACE, 2, recall, 65, 0.0000000
