topic, slot, schedule, stat, N, result
all, all, 1, acc, 12290, 0.0736371
all, all, 1, precision, 21260, 0.4664158
all, all, 1, recall, 28749, 0.3449163
all, all, 1, f1, 40093, 0.3965686
FOOD, INFO, 1, acc, 1856, 0.2877155
FOOD, INFO, 1, precision, 946, 0.6575053
FOOD, INFO, 1, recall, 1945, 0.3197943
FOOD, INFO, 1, f1, 2269, 0.4303009
FOOD, CUISINE, 1, acc, 711, 0.1744023
FOOD, CUISINE, 1, precision, 308, 0.4642857
FOOD, CUISINE, 1, recall, 673, 0.2124814
FOOD, CUISINE, 1, f1, 838, 0.2915392
FOOD, TYPE_OF_PLACE, 1, acc, 431, 0.2645012
FOOD, TYPE_OF_PLACE, 1, precision, 210, 0.6285714
FOOD, TYPE_OF_PLACE, 1, recall, 378, 0.3492063
FOOD, TYPE_OF_PLACE, 1, f1, 456, 0.4489796
FOOD, DRINK, 1, acc, 126, 0.0317460
FOOD, DRINK, 1, precision, 18, 0.2222222
FOOD, DRINK, 1, recall, 112, 0.0357143
FOOD, DRINK, 1, f1, 126, 0.0615385
FOOD, PLACE, 1, acc, 523, 0.0000000
FOOD, PLACE, 1, precision, 47, 0.0000000
FOOD, PLACE, 1, recall, 527, 0.0000000
FOOD, PLACE, 1, f1, 574, -
FOOD, MEAL_TIME, 1, acc, 35, 0.0857143
FOOD, MEAL_TIME, 1, precision, 20, 0.4000000
FOOD, MEAL_TIME, 1, recall, 46, 0.1739130
FOOD, MEAL_TIME, 1, f1, 58, 0.2424242
FOOD, DISH, 1, acc, 1854, 0.1790723
FOOD, DISH, 1, precision, 897, 0.5161650
FOOD, DISH, 1, recall, 1865, 0.2482574
FOOD, DISH, 1, f1, 2299, 0.3352643
FOOD, NEIGHBOURHOOD, 1, acc, 334, 0.0598802
FOOD, NEIGHBOURHOOD, 1, precision, 50, 0.4000000
FOOD, NEIGHBOURHOOD, 1, recall, 310, 0.0645161
FOOD, NEIGHBOURHOOD, 1, f1, 340, 0.1111111
FOOD, all, 1, acc, 2683, 0.0596347
FOOD, all, 1, precision, 2496, 0.5576923
FOOD, all, 1, recall, 5856, 0.2377049
FOOD, all, 1, f1, 6960, 0.3333333
ATTRACTION, INFO, 1, acc, 4700, 0.2742553
ATTRACTION, INFO, 1, precision, 4515, 0.5370986
ATTRACTION, INFO, 1, recall, 4948, 0.4900970
ATTRACTION, INFO, 1, f1, 7038, 0.5125225
ATTRACTION, TYPE_OF_PLACE, 1, acc, 1699, 0.2071807
ATTRACTION, TYPE_OF_PLACE, 1, precision, 939, 0.4227902
ATTRACTION, TYPE_OF_PLACE, 1, recall, 1388, 0.2860231
ATTRACTION, TYPE_OF_PLACE, 1, f1, 1930, 0.3412119
ATTRACTION, ACTIVITY, 1, acc, 1822, 0.1245884
ATTRACTION, ACTIVITY, 1, precision, 1193, 0.2598491
ATTRACTION, ACTIVITY, 1, recall, 1233, 0.2514193
ATTRACTION, ACTIVITY, 1, f1, 2116, 0.2555647
ATTRACTION, PLACE, 1, acc, 4645, 0.2266954
ATTRACTION, PLACE, 1, precision, 5312, 0.3177711
ATTRACTION, PLACE, 1, recall, 3987, 0.4233760
ATTRACTION, PLACE, 1, f1, 7611, 0.3630498
ATTRACTION, TIME, 1, acc, 321, 0.1121495
ATTRACTION, TIME, 1, precision, 139, 0.4100719
ATTRACTION, TIME, 1, recall, 300, 0.1900000
ATTRACTION, TIME, 1, f1, 382, 0.2596811
ATTRACTION, NEIGHBOURHOOD, 1, acc, 1958, 0.3186925
ATTRACTION, NEIGHBOURHOOD, 1, precision, 1030, 0.6757282
ATTRACTION, NEIGHBOURHOOD, 1, recall, 1843, 0.3776451
ATTRACTION, NEIGHBOURHOOD, 1, f1, 2177, 0.4845110
ATTRACTION, all, 1, acc, 5949, 0.0872416
ATTRACTION, all, 1, precision, 13128, 0.4245125
ATTRACTION, all, 1, recall, 13699, 0.4068180
ATTRACTION, all, 1, f1, 21254, 0.4154769
TRANSPORTATION, INFO, 1, acc, 1233, 0.2497972
TRANSPORTATION, INFO, 1, precision, 527, 0.6641366
TRANSPORTATION, INFO, 1, recall, 1195, 0.2928870
TRANSPORTATION, INFO, 1, f1, 1372, 0.4065041
TRANSPORTATION, FROM, 1, acc, 1174, 0.0783646
TRANSPORTATION, FROM, 1, precision, 739, 0.2083897
TRANSPORTATION, FROM, 1, recall, 1055, 0.1459716
TRANSPORTATION, FROM, 1, f1, 1640, 0.1716834
TRANSPORTATION, TO, 1, acc, 1238, 0.0920840
TRANSPORTATION, TO, 1, precision, 804, 0.1915423
TRANSPORTATION, TO, 1, recall, 1081, 0.1424607
TRANSPORTATION, TO, 1, f1, 1731, 0.1633952
TRANSPORTATION, STATION, 1, acc, 314, 0.0509554
TRANSPORTATION, STATION, 1, precision, 71, 0.2253521
TRANSPORTATION, STATION, 1, recall, 269, 0.0594796
TRANSPORTATION, STATION, 1, f1, 324, 0.0941176
TRANSPORTATION, LINE, 1, acc, 266, 0.2781955
TRANSPORTATION, LINE, 1, precision, 172, 0.6395349
TRANSPORTATION, LINE, 1, recall, 263, 0.4182510
TRANSPORTATION, LINE, 1, f1, 325, 0.5057471
TRANSPORTATION, TYPE, 1, acc, 1810, 0.6591160
TRANSPORTATION, TYPE, 1, precision, 1565, 0.8153355
TRANSPORTATION, TYPE, 1, recall, 1771, 0.7204969
