topic, slot, schedule, stat, N, result
all, all, 1, acc, 12290, 0.0393002
all, all, 1, precision, 20657, 0.3672847
all, all, 1, recall, 28749, 0.2639048
all, all, 1, f1, 41819, 0.3071287
FOOD, INFO, 1, acc, 1914, 0.2455590
FOOD, INFO, 1, precision, 1419, 0.5102185
FOOD, INFO, 1, recall, 1945, 0.3722365
FOOD, INFO, 1, f1, 2640, 0.4304400
FOOD, CUISINE, 1, acc, 653, 0.1347626
FOOD, CUISINE, 1, precision, 176, 0.5397727
FOOD, CUISINE, 1, recall, 673, 0.1411590
FOOD, CUISINE, 1, f1, 754, 0.2237927
FOOD, TYPE_OF_PLACE, 1, acc, 485, 0.2206186
FOOD, TYPE_OF_PLACE, 1, precision, 272, 0.4852941
FOOD, TYPE_OF_PLACE, 1, recall, 378, 0.3492063
FOOD, TYPE_OF_PLACE, 1, f1, 518, 0.4061538
FOOD, DRINK, 1, acc, 317, 0.0946372
FOOD, DRINK, 1, precision, 273, 0.1391941
FOOD, DRINK, 1, recall, 112, 0.3392857
FOOD, DRINK, 1, f1, 347, 0.1974026
FOOD, PLACE, 1, acc, 623, 0.0000000
FOOD, PLACE, 1, precision, 179, 0.0000000
FOOD, PLACE, 1, recall, 527, 0.0000000
FOOD, PLACE, 1, f1, 706, -
FOOD, MEAL_TIME, 1, acc, 139, 0.0215827
FOOD, MEAL_TIME, 1, precision, 142, 0.0845070
FOOD, MEAL_TIME, 1, recall, 46, 0.2608696
FOOD, MEAL_TIME, 1, f1, 176, 0.1276596
FOOD, DISH, 1, acc, 1866, 0.0905681
FOOD, DISH, 1, precision, 1657, 0.2257091
FOOD, DISH, 1, recall, 1865, 0.2005362
FOOD, DISH, 1, f1, 3148, 0.2123793
FOOD, NEIGHBOURHOOD, 1, acc, 310, 0.0774194
FOOD, NEIGHBOURHOOD, 1, precision, 24, 1.0000000
FOOD, NEIGHBOURHOOD, 1, recall, 310, 0.0774194
FOOD, NEIGHBOURHOOD, 1, f1, 310, 0.1437126
FOOD, all, 1, acc, 2683, 0.0242266
FOOD, all, 1, precision, 4142, 0.3377595
FOOD, all, 1, recall, 5856, 0.2389003
FOOD, all, 1, f1, 8599, 0.2798560
ATTRACTION, INFO, 1, acc, 4553, 0.1392488
ATTRACTION, INFO, 1, precision, 4446, 0.3992353
ATTRACTION, INFO, 1, recall, 4948, 0.3587308
ATTRACTION, INFO, 1, f1, 7619, 0.3779008
ATTRACTION, TYPE_OF_PLACE, 1, acc, 1842, 0.1802389
ATTRACTION, TYPE_OF_PLACE, 1, precision, 1009, 0.3756194
ATTRACTION, TYPE_OF_PLACE, 1, recall, 1388, 0.2730548
ATTRACTION, TYPE_OF_PLACE, 1, f1, 2018, 0.3162286
ATTRACTION, ACTIVITY, 1, acc, 2196, 0.1115665
ATTRACTION, ACTIVITY, 1, precision, 1917, 0.1591028
ATTRACTION, ACTIVITY, 1, recall, 1233, 0.2473642
ATTRACTION, ACTIVITY, 1, f1, 2845, 0.1936508
ATTRACTION, PLACE, 1, acc, 3926, 0.1113092
ATTRACTION, PLACE, 1, precision, 802, 0.6670823
ATTRACTION, PLACE, 1, recall, 3987, 0.1341861
ATTRACTION, PLACE, 1, f1, 4254, 0.2234287
ATTRACTION, TIME, 1, acc, 484, 0.1301653
ATTRACTION, TIME, 1, precision, 504, 0.2539683
ATTRACTION, TIME, 1, recall, 300, 0.4266667
ATTRACTION, TIME, 1, f1, 676, 0.3184080
ATTRACTION, NEIGHBOURHOOD, 1, acc, 1840, 0.2581522
ATTRACTION, NEIGHBOURHOOD, 1, precision, 672, 0.7738095
ATTRACTION, NEIGHBOURHOOD, 1, recall, 1843, 0.2821487
ATTRACTION, NEIGHBOURHOOD, 1, f1, 1995, 0.4135189
ATTRACTION, all, 1, acc, 5949, 0.0437048
ATTRACTION, all, 1, precision, 9350, 0.3895187
ATTRACTION, all, 1, recall, 13699, 0.2658588
ATTRACTION, all, 1, f1, 19407, 0.3160224
TRANSPORTATION, INFO, 1, acc, 1207, 0.1723281
TRANSPORTATION, INFO, 1, precision, 760, 0.4618421
TRANSPORTATION, INFO, 1, recall, 1195, 0.2937238
TRANSPORTATION, INFO, 1, f1, 1604, 0.3590793
TRANSPORTATION, FROM, 1, acc, 1203, 0.0241064
TRANSPORTATION, FROM, 1, precision, 1560, 0.0435897
TRANSPORTATION, FROM, 1, recall, 1055, 0.0644550
TRANSPORTATION, FROM, 1, f1, 2547, 0.0520076
TRANSPORTATION, TO, 1, acc, 1210, 0.0677686
TRANSPORTATION, TO, 1, precision, 1057, 0.1220435
TRANSPORTATION, TO, 1, recall, 1081, 0.1193340
TRANSPORTATION, TO, 1, f1, 2009, 0.1206735
TRANSPORTATION, STATION, 1, acc, 269, 0.0000000
TRANSPORTATION, STATION, 1, precision, 0, -
TRANSPORTATION, STATION, 1, recall, 269, 0.0000000
TRANSPORTATION, STATION, 1, f1, 269, -
TRANSPORTATION, LINE, 1, acc, 294, 0.2959184
TRANSPORTATION, LINE, 1, precision, 223, 0.5336323
TRANSPORTATION, LINE, 1, recall, 263, 0.4524715
TRANSPORTATION, LINE, 1, f1, 367, 0.4897119
TRANSPORTATION, TYPE, 1, acc, 1772, 0.4486456
TRANSPORTATION, TYPE, 1, precision, 1407, 0.7093106
TRANSPORTATION, TYPE, 1, recall, 1771, 0.5635234
TRANSPORTATION, TYPE, 1, f1, 2180, 0.6280680
TRANSPORTATION, TICKET, 1, acc, 58, 0.2586207
TRANSPORTATION, TICKET, 1, precision, 34, 0.5000000
TRANSPORTATION, TICKET, 1, recall, 43, 0.3953488
TRANSPORTATION, TICKET, 1, f1, 60, 0.4415584
TRANSPORTATION, all, 1, acc, 1940, 0.0469072
TRANSPORTATION, all, 1, precision, 5041, 0.3336640
TRANSPORTATION, all, 1, recall, 5677, 0.2962832
TRANSPORTATION, all, 1, f1, 9036, 0.3138645
SHOPPING, INFO, 1, acc, 573, 0.1151832
SHOPPING, INFO, 1, precision, 277, 0.4007220
SHOPPING, INFO, 1, recall, 603, 0.1840796
SHOPPING, INFO, 1, f1, 769, 0.2522727
SHOPPING, TYPE_OF_PLACE, 1, acc, 413, 0.2905569
SHOPPING, TYPE_OF_PLACE, 1, precision, 253, 0.5256917
SHOPPING, TYPE_OF_PLACE, 1, recall, 331, 0.4018127
SHOPPING, TYPE_OF_PLACE, 1, f1, 451, 0.4554795
SHOPPING, PLACE, 1, acc, 411, 0.0462287
SHOPPING, PLACE, 1, precision, 355, 0.1211268
SHOPPING, PLACE, 1, recall, 277, 0.1552347
SHOPPING, PLACE, 1, f1, 589, 0.1360759
SHOPPING, NEIGHBOURHOOD, 1, acc, 346, 0.2052023
SHOPPING, NEIGHBOURHOOD, 1, precision, 99, 0.7474747
SHOPPING, NEIGHBOURHOOD, 1, recall, 330, 0.2242424
SHOPPING, NEIGHBOURHOOD, 1, f1, 355, 0.3449883
SHOPPING, TIME, 1, acc, 31, 0.0000000
SHOPPING, TIME, 1, precision, 52, 0.0000000
SHOPPING, TIME, 1, recall, 0, -
SHOPPING, TIME, 1, f1, 52, -
SHOPPING, all, 1, acc, 745, 0.0348993
SHOPPING, all, 1, precision, 1036, 0.3484556
SHOPPING, all, 1, recall, 1541, 0.2342635
SHOPPING, all, 1, f1, 2216, 0.2801707
ACCOMMODATION, INFO, 1, acc, 812, 0.2844828
ACCOMMODATION, INFO, 1, precision, 824, 0.5072816
ACCOMMODATION, INFO, 1, recall, 917, 0.4558342
ACCOMMODATION, INFO, 1, f1, 1323, 0.4801838
ACCOMMODATION, TYPE_OF_PLACE, 1, acc, 214, 0.0420561
ACCOMMODATION, TYPE_OF_PLACE, 1, precision, 129, 0.1782946
ACCOMMODATION, TYPE_OF_PLACE, 1, recall, 140, 0.1642857
ACCOMMODATION, TYPE_OF_PLACE, 1, f1, 246, 0.1710037
ACCOMMODATION, PLACE, 1, acc, 740, 0.0351351
ACCOMMODATION, PLACE, 1, precision, 43, 0.6046512
ACCOMMODATION, PLACE, 1, recall, 782, 0.0332481
ACCOMMODATION, PLACE, 1, f1, 799, 0.0630303
ACCOMMODATION, NEIGHBOURHOOD, 1, acc, 180, 0.2000000
ACCOMMODATION, NEIGHBOURHOOD, 1, precision, 92, 0.3913043
ACCOMMODATION, NEIGHBOURHOOD, 1, recall, 137, 0.2627737
ACCOMMODATION, NEIGHBOURHOOD, 1, f1, 193, 0.3144105
ACCOMMODATION, all, 1, acc, 973, 0.0421377
ACCOMMODATION, all, 1, precision, 1088, 0.4623162
ACCOMMODATION, all, 1, recall, 1976, 0.2545547
ACCOMMODATION, all, 1, f1, 2561, 0.3283290
all, all, 2, acc, 1307, 0.0550880
all, all, 2, precision, 2649, 0.3793884
all, all, 2, recall, 2993, 0.3357835
all, all, 2, f1, 4637, 0.3562566
FOOD, INFO, 2, acc, 187, 0.2780749
FOOD, INFO, 2, precision, 173, 0.4739884
FOOD, INFO, 2, recall, 178, 0.4606742
FOOD, INFO, 2, f1, 269, 0.4672365
FOOD, CUISINE, 2, acc, 75, 0.1600000
FOOD, CUISINE, 2, precision, 28, 0.5000000
FOOD, CUISINE, 2, recall, 75, 0.1866667
FOOD, CUISINE, 2, f1, 89, 0.2718447
FOOD, TYPE_OF_PLACE, 2, acc, 56, 0.1964286
FOOD, TYPE_OF_PLACE, 2, precision, 38, 0.3684211
FOOD, TYPE_OF_PLACE, 2, recall, 36, 0.3888889
FOOD, TYPE_OF_PLACE, 2, f1, 60, 0.3783784
FOOD, DRINK, 2, acc, 33, 0.1515152
FOOD, DRINK, 2, precision, 35, 0.2000000
FOOD, DRINK, 2, recall, 10, 0.7000000
FOOD, DRINK, 2, f1, 38, 0.3111111
FOOD, PLACE, 2, acc, 81, 0.0000000
FOOD, PLACE, 2, precision, 25, 0.0000000
FOOD, PLACE, 2, recall, 65, 0.0000000
FOOD, PLACE, 2, f1, 90, -
FOOD, MEAL_TIME, 2, acc, 12, 0.0000000
FOOD, MEAL_TIME, 2, precision, 14, 0.0000000
FOOD, MEAL_TIME, 2, recall, 3, 0.0000000
FOOD, MEAL_TIME, 2, f1, 17, -
FOOD, DISH, 2, acc, 178, 0.1067416
FOOD, DISH, 2, precision, 199, 0.2562814
FOOD, DISH, 2, recall, 174, 0.2931034
FOOD, DISH, 2, f1, 322, 0.2734584
FOOD, NEIGHBOURHOOD, 2, acc, 30, 0.1000000
FOOD, NEIGHBOURHOOD, 2, precision, 3, 1.0000000
FOOD, NEIGHBOURHOOD, 2, recall, 30, 0.1000000
FOOD, NEIGHBOURHOOD, 2, f1, 30, 0.1818182
FOOD, all, 2, acc, 272, 0.0257353
FOOD, all, 2, precision, 515, 0.3320388
FOOD, all, 2, recall, 571, 0.2994746
FOOD, all, 2, f1, 915, 0.3149171
ATTRACTION, INFO, 2, acc, 446, 0.1569507
ATTRACTION, INFO, 2, precision, 510, 0.3686275
ATTRACTION, INFO, 2, recall, 465, 0.4043011
ATTRACTION, INFO, 2, f1, 787, 0.3856410
ATTRACTION, TYPE_OF_PLACE, 2, acc, 207, 0.2801932
ATTRACTION, TYPE_OF_PLACE, 2, precision, 164, 0.4207317
ATTRACTION, TYPE_OF_PLACE, 2, recall, 137, 0.5036496
ATTRACTION, TYPE_OF_PLACE, 2, f1, 232, 0.4584718
ATTRACTION, ACTIVITY, 2, acc, 227, 0.1497797
ATTRACTION, ACTIVITY, 2, precision, 210, 0.2095238
ATTRACTION, ACTIVITY, 2, recall, 125, 0.3520000
ATTRACTION, ACTIVITY, 2, f1, 291, 0.2626866
ATTRACTION, PLACE, 2, acc, 411, 0.1654501
ATTRACTION, PLACE, 2, precision, 111, 0.7837838
ATTRACTION, PLACE, 2, recall, 423, 0.2056738
ATTRACTION, PLACE, 2, f1, 447, 0.3258427
ATTRACTION, TIME, 2, acc, 55, 0.1272727
ATTRACTION, TIME, 2, precision, 68, 0.2500000
ATTRACTION, TIME, 2, recall, 31, 0.5483871
ATTRACTION, TIME, 2, f1, 82, 0.3434343
ATTRACTION, NEIGHBOURHOOD, 2, acc, 203, 0.3349754
ATTRACTION, NEIGHBOURHOOD, 2, precision, 106, 0.7169811
ATTRACTION, NEIGHBOURHOOD, 2, recall, 199, 0.3819095
ATTRACTION, NEIGHBOURHOOD, 2, f1, 229, 0.4983607
ATTRACTION, all, 2, acc, 614, 0.0667752
ATTRACTION, all, 2, precision, 1169, 0.4114628
ATTRACTION, all, 2, recall, 1380, 0.3485507
ATTRACTION, all, 2, f1, 2068, 0.3774029
TRANSPORTATION, INFO, 2, acc, 136, 0.1544118
TRANSPORTATION, INFO, 2, precision, 97, 0.4226804
TRANSPORTATION, INFO, 2, recall, 132, 0.3106061
TRANSPORTATION, INFO, 2, f1, 188, 0.3580786
TRANSPORTATION, FROM, 2, acc, 143, 0.0279720
TRANSPORTATION, FROM, 2, precision, 197, 0.0456853
TRANSPORTATION, FROM, 2, recall, 123, 0.0731707
TRANSPORTATION, FROM, 2, f1, 311, 0.0562500
TRANSPORTATION, TO, 2, acc, 143, 0.1258741
TRANSPORTATION, TO, 2, precision, 157, 0.1847134
TRANSPORTATION, TO, 2, recall, 128, 0.2265625
TRANSPORTATION, TO, 2, f1, 256, 0.2035088
TRANSPORTATION, STATION, 2, acc, 27, 0.0000000
TRANSPORTATION, STATION, 2, precision, 0, -
TRANSPORTATION, STATION, 2, recall, 27, 0.0000000
TRANSPORTATION, STATION, 2, f1, 27, -
TRANSPORTATION, LINE, 2, acc, 37, 0.3783784
TRANSPORTATION, LINE, 2, precision, 33, 0.5454545
TRANSPORTATION, LINE, 2, recall, 31, 0.5806452
TRANSPORTATION, LINE, 2, f1, 46, 0.5625000
TRANSPORTATION, TYPE, 2, acc, 211, 0.4976303
TRANSPORTATION, TYPE, 2, precision, 190, 0.7157895
TRANSPORTATION, TYPE, 2, recall, 209, 0.6507177
TRANSPORTATION, TYPE, 2, f1, 263, 0.6817043
TRANSPORTATION, TICKET, 2, acc, 6, 0.0000000
TRANSPORTATION, TICKET, 2, precision, 3, 0.3333333
TRANSPORTATION, TICKET, 2, recall, 5, 0.2000000
TRANSPORTATION, TICKET, 2, f1, 7, 0.2500000
TRANSPORTATION, all, 2, acc, 231, 0.0562771
TRANSPORTATION, all, 2, precision, 677, 0.3456425
TRANSPORTATION, all, 2, recall, 655, 0.3572519
TRANSPORTATION, all, 2, f1, 1098, 0.3513514
SHOPPING, INFO, 2, acc, 49, 0.1020408
SHOPPING, INFO, 2, precision, 32, 0.4375000
SHOPPING, INFO, 2, recall, 52, 0.2692308
SHOPPING, INFO, 2, f1, 70, 0.3333333
SHOPPING, TYPE_OF_PLACE, 2, acc, 47, 0.4468085
SHOPPING, TYPE_OF_PLACE, 2, precision, 44, 0.5227273
SHOPPING, TYPE_OF_PLACE, 2, recall, 35, 0.6571429
SHOPPING, TYPE_OF_PLACE, 2, f1, 56, 0.5822785
SHOPPING, PLACE, 2, acc, 47, 0.0425532
SHOPPING, PLACE, 2, precision, 48, 0.1041667
SHOPPING, PLACE, 2, recall, 28, 0.1785714
SHOPPING, PLACE, 2, f1, 71, 0.1315789
SHOPPING, NEIGHBOURHOOD, 2, acc, 38, 0.2631579
SHOPPING, NEIGHBOURHOOD, 2, precision, 16, 0.6875000
SHOPPING, NEIGHBOURHOOD, 2, recall, 36, 0.3055556
SHOPPING, NEIGHBOURHOOD, 2, f1, 41, 0.4230769
SHOPPING, TIME, 2, acc, 2, 0.0000000
SHOPPING, TIME, 2, precision, 3, 0.0000000
SHOPPING, TIME, 2, recall, 0, -
SHOPPING, TIME, 2, f1, 3, -
SHOPPING, all, 2, acc, 72, 0.0555556
SHOPPING, all, 2, precision, 143, 0.3706294
SHOPPING, all, 2, recall, 151, 0.3509934
SHOPPING, all, 2, f1, 241, 0.3605442
ACCOMMODATION, INFO, 2, acc, 92, 0.2934783
ACCOMMODATION, INFO, 2, precision, 103, 0.5145631
ACCOMMODATION, INFO, 2, recall, 104, 0.5096154
ACCOMMODATION, INFO, 2, f1, 154, 0.5120773
ACCOMMODATION, TYPE_OF_PLACE, 2, acc, 28, 0.1071429
ACCOMMODATION, TYPE_OF_PLACE, 2, precision, 19, 0.2105263
ACCOMMODATION, TYPE_OF_PLACE, 2, recall, 16, 0.2500000
ACCOMMODATION, TYPE_OF_PLACE, 2, f1, 31, 0.2285714
ACCOMMODATION, PLACE, 2, acc, 94, 0.0425532
ACCOMMODATION, PLACE, 2, precision, 10, 0.4000000
ACCOMMODATION, PLACE, 2, recall, 97, 0.0412371
ACCOMMODATION, PLACE, 2, f1, 103, 0.0747664
ACCOMMODATION, NEIGHBOURHOOD, 2, acc, 25, 0.2000000
ACCOMMODATION, NEIGHBOURHOOD, 2, precision, 13, 0.3846154
ACCOMMODATION, NEIGHBOURHOOD, 2, recall, 19, 0.2631579
ACCOMMODATION, NEIGHBOURHOOD, 2, f1, 27, 0.3125000
ACCOMMODATION, all, 2, acc, 118, 0.0593220
ACCOMMODATION, all, 2, precision, 145, 0.4551724
ACCOMMODATION, all, 2, recall, 236, 0.2796610
ACCOMMODATION, all, 2, f1, 315, 0.3464567
basic,total_wall_time,,,,8299.76883125
basic,sessions,,,,10
basic,utterances,,,,14878
basic,wall_time_per_utterance,,,,0.557855143921
basic,dataset,,,,dstc5_test
