topic, slot, schedule, stat, N, result
all, all, 1, acc, 12290, 0.0387307
all, all, 1, precision, 17136, 0.4086718
all, all, 1, recall, 28749, 0.2435911
all, all, 1, f1, 38882, 0.3052414
FOOD, INFO, 1, acc, 1855, 0.2501348
FOOD, INFO, 1, precision, 1019, 0.6231600
FOOD, INFO, 1, recall, 1945, 0.3264781
FOOD, INFO, 1, f1, 2329, 0.4284750
FOOD, CUISINE, 1, acc, 650, 0.1230769
FOOD, CUISINE, 1, precision, 157, 0.5414013
FOOD, CUISINE, 1, recall, 673, 0.1263001
FOOD, CUISINE, 1, f1, 745, 0.2048193
FOOD, TYPE_OF_PLACE, 1, acc, 443, 0.2370203
FOOD, TYPE_OF_PLACE, 1, precision, 220, 0.5545455
FOOD, TYPE_OF_PLACE, 1, recall, 378, 0.3227513
FOOD, TYPE_OF_PLACE, 1, f1, 476, 0.4080268
FOOD, DRINK, 1, acc, 317, 0.0883281
FOOD, DRINK, 1, precision, 271, 0.1328413
FOOD, DRINK, 1, recall, 112, 0.3214286
FOOD, DRINK, 1, f1, 347, 0.1879896
FOOD, PLACE, 1, acc, 593, 0.0000000
FOOD, PLACE, 1, precision, 139, 0.0000000
FOOD, PLACE, 1, recall, 527, 0.0000000
FOOD, PLACE, 1, f1, 666, -
FOOD, MEAL_TIME, 1, acc, 114, 0.0263158
FOOD, MEAL_TIME, 1, precision, 103, 0.1165049
FOOD, MEAL_TIME, 1, recall, 46, 0.2608696
FOOD, MEAL_TIME, 1, f1, 137, 0.1610738
FOOD, DISH, 1, acc, 1866, 0.0905681
FOOD, DISH, 1, precision, 1640, 0.2268293
FOOD, DISH, 1, recall, 1865, 0.1994638
FOOD, DISH, 1, f1, 3133, 0.2122682
FOOD, NEIGHBOURHOOD, 1, acc, 310, 0.0838710
FOOD, NEIGHBOURHOOD, 1, precision, 26, 1.0000000
FOOD, NEIGHBOURHOOD, 1, recall, 310, 0.0838710
FOOD, NEIGHBOURHOOD, 1, f1, 310, 0.1547619
FOOD, all, 1, acc, 2683, 0.0268356
FOOD, all, 1, precision, 3575, 0.3602797
FOOD, all, 1, recall, 5856, 0.2199454
FOOD, all, 1, f1, 8143, 0.2731418
ATTRACTION, INFO, 1, acc, 4460, 0.1401345
ATTRACTION, INFO, 1, precision, 3400, 0.4758824
ATTRACTION, INFO, 1, recall, 4948, 0.3270008
ATTRACTION, INFO, 1, f1, 6730, 0.3876378
ATTRACTION, TYPE_OF_PLACE, 1, acc, 1573, 0.1837254
ATTRACTION, TYPE_OF_PLACE, 1, precision, 594, 0.5319865
ATTRACTION, TYPE_OF_PLACE, 1, recall, 1388, 0.2276657
ATTRACTION, TYPE_OF_PLACE, 1, f1, 1666, 0.3188698
ATTRACTION, ACTIVITY, 1, acc, 1865, 0.0997319
ATTRACTION, ACTIVITY, 1, precision, 1271, 0.1620771
ATTRACTION, ACTIVITY, 1, recall, 1233, 0.1670722
ATTRACTION, ACTIVITY, 1, f1, 2298, 0.1645367
ATTRACTION, PLACE, 1, acc, 3896, 0.1113963
ATTRACTION, PLACE, 1, precision, 765, 0.6928105
ATTRACTION, PLACE, 1, recall, 3987, 0.1329320
ATTRACTION, PLACE, 1, f1, 4222, 0.2230640
ATTRACTION, TIME, 1, acc, 473, 0.1247357
ATTRACTION, TIME, 1, precision, 470, 0.2531915
ATTRACTION, TIME, 1, recall, 300, 0.3966667
ATTRACTION, TIME, 1, f1, 651, 0.3090909
ATTRACTION, NEIGHBOURHOOD, 1, acc, 1829, 0.2629852
ATTRACTION, NEIGHBOURHOOD, 1, precision, 659, 0.7981791
ATTRACTION, NEIGHBOURHOOD, 1, recall, 1843, 0.2854042
ATTRACTION, NEIGHBOURHOOD, 1, f1, 1976, 0.4204636
ATTRACTION, all, 1, acc, 5949, 0.0442091
ATTRACTION, all, 1, precision, 7159, 0.4630535
ATTRACTION, all, 1, recall, 13699, 0.2419885
ATTRACTION, all, 1, f1, 17543, 0.3178636
TRANSPORTATION, INFO, 1, acc, 1203, 0.1770574
TRANSPORTATION, INFO, 1, precision, 716, 0.4762570
TRANSPORTATION, INFO, 1, recall, 1195, 0.2853556
TRANSPORTATION, INFO, 1, f1, 1570, 0.3568812
TRANSPORTATION, FROM, 1, acc, 1186, 0.0244519
TRANSPORTATION, FROM, 1, precision, 1345, 0.0505576
TRANSPORTATION, FROM, 1, recall, 1055, 0.0644550
TRANSPORTATION, FROM, 1, f1, 2332, 0.0566667
TRANSPORTATION, TO, 1, acc, 1210, 0.0652893
TRANSPORTATION, TO, 1, precision, 1009, 0.1219029
TRANSPORTATION, TO, 1, recall, 1081, 0.1137835
TRANSPORTATION, TO, 1, f1, 1967, 0.1177033
TRANSPORTATION, STATION, 1, acc, 277, 0.0000000
TRANSPORTATION, STATION, 1, precision, 8, 0.0000000
TRANSPORTATION, STATION, 1, recall, 269, 0.0000000
TRANSPORTATION, STATION, 1, f1, 277, -
TRANSPORTATION, LINE, 1, acc, 292, 0.3664384
TRANSPORTATION, LINE, 1, precision, 213, 0.5868545
TRANSPORTATION, LINE, 1, recall, 263, 0.4752852
TRANSPORTATION, LINE, 1, f1, 351, 0.5252101
TRANSPORTATION, TYPE, 1, acc, 1769, 0.4460147
TRANSPORTATION, TYPE, 1, precision, 1314, 0.7351598
TRANSPORTATION, TYPE, 1, recall, 1771, 0.5454545
TRANSPORTATION, TYPE, 1, f1, 2119, 0.6262561
TRANSPORTATION, TICKET, 1, acc, 51, 0.3137255
TRANSPORTATION, TICKET, 1, precision, 26, 0.6538462
TRANSPORTATION, TICKET, 1, recall, 43, 0.3953488
TRANSPORTATION, TICKET, 1, f1, 52, 0.4927536
TRANSPORTATION, all, 1, acc, 1940, 0.0407216
TRANSPORTATION, all, 1, precision, 4631, 0.3541352
TRANSPORTATION, all, 1, recall, 5677, 0.2888850
TRANSPORTATION, all, 1, f1, 8668, 0.3181995
SHOPPING, INFO, 1, acc, 558, 0.0806452
SHOPPING, INFO, 1, precision, 205, 0.3902439
SHOPPING, INFO, 1, recall, 603, 0.1326700
SHOPPING, INFO, 1, f1, 728, 0.1980198
SHOPPING, TYPE_OF_PLACE, 1, acc, 424, 0.2712264
SHOPPING, TYPE_OF_PLACE, 1, precision, 246, 0.5203252
SHOPPING, TYPE_OF_PLACE, 1, recall, 331, 0.3867069
SHOPPING, TYPE_OF_PLACE, 1, f1, 449, 0.4436742
SHOPPING, PLACE, 1, acc, 374, 0.0320856
