topic, slot, schedule, stat, N, result
all, all, 1, acc, 12290, 0.0385679
all, all, 1, precision, 20757, 0.3615166
all, all, 1, recall, 28749, 0.2610178
all, all, 1, f1, 42002, 0.3031552
FOOD, INFO, 1, acc, 1908, 0.2447589
FOOD, INFO, 1, precision, 1332, 0.5255255
FOOD, INFO, 1, recall, 1945, 0.3598972
FOOD, INFO, 1, f1, 2577, 0.4272200
FOOD, CUISINE, 1, acc, 650, 0.1261538
FOOD, CUISINE, 1, precision, 159, 0.5471698
FOOD, CUISINE, 1, recall, 673, 0.1292719
FOOD, CUISINE, 1, f1, 745, 0.2091346
FOOD, TYPE_OF_PLACE, 1, acc, 472, 0.2266949
FOOD, TYPE_OF_PLACE, 1, precision, 256, 0.5039062
FOOD, TYPE_OF_PLACE, 1, recall, 378, 0.3412698
FOOD, TYPE_OF_PLACE, 1, f1, 505, 0.4069401
FOOD, DRINK, 1, acc, 357, 0.0812325
FOOD, DRINK, 1, precision, 322, 0.1149068
FOOD, DRINK, 1, recall, 112, 0.3303571
FOOD, DRINK, 1, f1, 397, 0.1705069
FOOD, PLACE, 1, acc, 626, 0.0000000
FOOD, PLACE, 1, precision, 189, 0.0000000
FOOD, PLACE, 1, recall, 527, 0.0000000
FOOD, PLACE, 1, f1, 716, -
FOOD, MEAL_TIME, 1, acc, 136, 0.0220588
FOOD, MEAL_TIME, 1, precision, 141, 0.0851064
FOOD, MEAL_TIME, 1, recall, 46, 0.2608696
FOOD, MEAL_TIME, 1, f1, 175, 0.1283422
FOOD, DISH, 1, acc, 1866, 0.0905681
FOOD, DISH, 1, precision, 1657, 0.2257091
FOOD, DISH, 1, recall, 1865, 0.2005362
FOOD, DISH, 1, f1, 3148, 0.2123793
FOOD, NEIGHBOURHOOD, 1, acc, 310, 0.0967742
FOOD, NEIGHBOURHOOD, 1, precision, 30, 1.0000000
FOOD, NEIGHBOURHOOD, 1, recall, 310, 0.0967742
FOOD, NEIGHBOURHOOD, 1, f1, 310, 0.1764706
FOOD, all, 1, acc, 2683, 0.0238539
FOOD, all, 1, precision, 4086, 0.3350465
FOOD, all, 1, recall, 5856, 0.2337773
FOOD, all, 1, f1, 8573, 0.2753973
ATTRACTION, INFO, 1, acc, 4556, 0.1457419
ATTRACTION, INFO, 1, precision, 4350, 0.4094253
ATTRACTION, INFO, 1, recall, 4948, 0.3599434
ATTRACTION, INFO, 1, f1, 7517, 0.3830931
ATTRACTION, TYPE_OF_PLACE, 1, acc, 1724, 0.1914153
ATTRACTION, TYPE_OF_PLACE, 1, precision, 832, 0.4471154
ATTRACTION, TYPE_OF_PLACE, 1, recall, 1388, 0.2680115
ATTRACTION, TYPE_OF_PLACE, 1, f1, 1848, 0.3351351
ATTRACTION, ACTIVITY, 1, acc, 2193, 0.1158231
ATTRACTION, ACTIVITY, 1, precision, 1905, 0.1643045
ATTRACTION, ACTIVITY, 1, recall, 1233, 0.2538524
ATTRACTION, ACTIVITY, 1, f1, 2825, 0.1994901
ATTRACTION, PLACE, 1, acc, 3921, 0.1096659
ATTRACTION, PLACE, 1, precision, 803, 0.6612702
ATTRACTION, PLACE, 1, recall, 3987, 0.1331828
ATTRACTION, PLACE, 1, f1, 4259, 0.2217119
ATTRACTION, TIME, 1, acc, 476, 0.1323529
ATTRACTION, TIME, 1, precision, 510, 0.2549020
ATTRACTION, TIME, 1, recall, 300, 0.4333333
ATTRACTION, TIME, 1, f1, 680, 0.3209877
ATTRACTION, NEIGHBOURHOOD, 1, acc, 1833, 0.2624113
ATTRACTION, NEIGHBOURHOOD, 1, precision, 671, 0.7839046
ATTRACTION, NEIGHBOURHOOD, 1, recall, 1843, 0.2854042
ATTRACTION, NEIGHBOURHOOD, 1, f1, 1988, 0.4184566
ATTRACTION, all, 1, acc, 5949, 0.0450496
ATTRACTION, all, 1, precision, 9071, 0.4027119
ATTRACTION, all, 1, recall, 13699, 0.2666618
