topic, slot, schedule, stat, N, result
all, all, 1, acc, 12290, 0.0192026
all, all, 1, precision, 9623, 0.3130001
all, all, 1, recall, 28749, 0.1047689
all, all, 1, f1, 35360, 0.1569895
FOOD, INFO, 1, acc, 1995, 0.1553885
FOOD, INFO, 1, precision, 1069, 0.3760524
FOOD, INFO, 1, recall, 1945, 0.2066838
FOOD, INFO, 1, f1, 2612, 0.2667551
FOOD, CUISINE, 1, acc, 647, 0.0000000
FOOD, CUISINE, 1, precision, 76, 0.0000000
FOOD, CUISINE, 1, recall, 673, 0.0000000
FOOD, CUISINE, 1, f1, 749, -
FOOD, TYPE_OF_PLACE, 1, acc, 633, 0.1090047
FOOD, TYPE_OF_PLACE, 1, precision, 336, 0.2053571
FOOD, TYPE_OF_PLACE, 1, recall, 378, 0.1825397
FOOD, TYPE_OF_PLACE, 1, f1, 645, 0.1932773
FOOD, DRINK, 1, acc, 112, 0.0000000
FOOD, DRINK, 1, precision, 0, -
FOOD, DRINK, 1, recall, 112, 0.0000000
FOOD, DRINK, 1, f1, 112, -
FOOD, PLACE, 1, acc, 532, 0.0000000
FOOD, PLACE, 1, precision, 44, 0.0000000
FOOD, PLACE, 1, recall, 527, 0.0000000
FOOD, PLACE, 1, f1, 571, -
FOOD, MEAL_TIME, 1, acc, 23, 0.0000000
FOOD, MEAL_TIME, 1, precision, 0, -
FOOD, MEAL_TIME, 1, recall, 46, 0.0000000
FOOD, MEAL_TIME, 1, f1, 46, -
FOOD, DISH, 1, acc, 1762, 0.0056754
FOOD, DISH, 1, precision, 19, 0.5263158
FOOD, DISH, 1, recall, 1865, 0.0053619
FOOD, DISH, 1, f1, 1874, 0.0106157
FOOD, NEIGHBOURHOOD, 1, acc, 411, 0.1532847
FOOD, NEIGHBOURHOOD, 1, precision, 195, 0.3230769
FOOD, NEIGHBOURHOOD, 1, recall, 310, 0.2032258
FOOD, NEIGHBOURHOOD, 1, f1, 442, 0.2495050
FOOD, all, 1, acc, 2683, 0.0074543
FOOD, all, 1, precision, 1739, 0.3128235
FOOD, all, 1, recall, 5856, 0.0928962
FOOD, all, 1, f1, 7051, 0.1432521
ATTRACTION, INFO, 1, acc, 5096, 0.1114600
ATTRACTION, INFO, 1, precision, 3599, 0.1933871
ATTRACTION, INFO, 1, recall, 4948, 0.1406629
ATTRACTION, INFO, 1, f1, 7851, 0.1628642
