topic, slot, schedule, stat, N, result
all, all, 1, acc, 12290, 0.0091945
all, all, 1, precision, 2888, 0.4286704
all, all, 1, recall, 28749, 0.0430624
all, all, 1, f1, 30399, 0.0782628
FOOD, INFO, 1, acc, 1720, 0.0000000
FOOD, INFO, 1, precision, 0, -
FOOD, INFO, 1, recall, 1945, 0.0000000
FOOD, INFO, 1, f1, 1945, -
FOOD, CUISINE, 1, acc, 587, 0.0000000
FOOD, CUISINE, 1, precision, 0, -
FOOD, CUISINE, 1, recall, 673, 0.0000000
FOOD, CUISINE, 1, f1, 673, -
FOOD, TYPE_OF_PLACE, 1, acc, 366, 0.0000000
FOOD, TYPE_OF_PLACE, 1, precision, 0, -
FOOD, TYPE_OF_PLACE, 1, recall, 378, 0.0000000
FOOD, TYPE_OF_PLACE, 1, f1, 378, -
FOOD, DRINK, 1, acc, 112, 0.0000000
FOOD, DRINK, 1, precision, 0, -
FOOD, DRINK, 1, recall, 112, 0.0000000
FOOD, DRINK, 1, f1, 112, -
FOOD, PLACE, 1, acc, 497, 0.0000000
FOOD, PLACE, 1, precision, 0, -
FOOD, PLACE, 1, recall, 527, 0.0000000
FOOD, PLACE, 1, f1, 527, -
FOOD, MEAL_TIME, 1, acc, 23, 0.0000000
FOOD, MEAL_TIME, 1, precision, 0, -
FOOD, MEAL_TIME, 1, recall, 46, 0.0000000
FOOD, MEAL_TIME, 1, f1, 46, -
FOOD, DISH, 1, acc, 1762, 0.0000000
FOOD, DISH, 1, precision, 0, -
FOOD, DISH, 1, recall, 1865, 0.0000000
FOOD, DISH, 1, f1, 1865, -
FOOD, NEIGHBOURHOOD, 1, acc, 310, 0.0000000
FOOD, NEIGHBOURHOOD, 1, precision, 0, -
FOOD, NEIGHBOURHOOD, 1, recall, 310, 0.0000000
FOOD, NEIGHBOURHOOD, 1, f1, 310, -
FOOD, all, 1, acc, 2683, 0.0000000
FOOD, all, 1, precision, 0, -
FOOD, all, 1, recall, 5856, 0.0000000
FOOD, all, 1, f1, 5856, -
ATTRACTION, INFO, 1, acc, 4204, 0.0000000
ATTRACTION, INFO, 1, precision, 0, -
ATTRACTION, INFO, 1, recall, 4948, 0.0000000
ATTRACTION, INFO, 1, f1, 4948, -
ATTRACTION, TYPE_OF_PLACE, 1, acc, 1314, 0.0000000
ATTRACTION, TYPE_OF_PLACE, 1, precision, 0, -
ATTRACTION, TYPE_OF_PLACE, 1, recall, 1388, 0.0000000
ATTRACTION, TYPE_OF_PLACE, 1, f1, 1388, -
ATTRACTION, ACTIVITY, 1, acc, 1122, 0.0000000
ATTRACTION, ACTIVITY, 1, precision, 0, -
ATTRACTION, ACTIVITY, 1, recall, 1233, 0.0000000
ATTRACTION, ACTIVITY, 1, f1, 1233, -
ATTRACTION, PLACE, 1, acc, 3918, 0.0066360
ATTRACTION, PLACE, 1, precision, 161, 0.1614907
ATTRACTION, PLACE, 1, recall, 3987, 0.0065212
ATTRACTION, PLACE, 1, f1, 4122, 0.0125362
ATTRACTION, TIME, 1, acc, 282, 0.0000000
ATTRACTION, TIME, 1, precision, 0, -
ATTRACTION, TIME, 1, recall, 300, 0.0000000
ATTRACTION, TIME, 1, f1, 300, -
ATTRACTION, NEIGHBOURHOOD, 1, acc, 1746, 0.0000000
ATTRACTION, NEIGHBOURHOOD, 1, precision, 0, -
ATTRACTION, NEIGHBOURHOOD, 1, recall, 1843, 0.0000000
ATTRACTION, NEIGHBOURHOOD, 1, f1, 1843, -
ATTRACTION, all, 1, acc, 5949, 0.0006724
ATTRACTION, all, 1, precision, 161, 0.1614907
ATTRACTION, all, 1, recall, 13699, 0.0018979
ATTRACTION, all, 1, f1, 13834, 0.0037518
TRANSPORTATION, INFO, 1, acc, 1132, 0.0000000
TRANSPORTATION, INFO, 1, precision, 3, 0.0000000
TRANSPORTATION, INFO, 1, recall, 1195, 0.0000000
TRANSPORTATION, INFO, 1, f1, 1198, -
TRANSPORTATION, FROM, 1, acc, 1009, 0.0000000
TRANSPORTATION, FROM, 1, precision, 0, -
TRANSPORTATION, FROM, 1, recall, 1055, 0.0000000
TRANSPORTATION, FROM, 1, f1, 1055, -
TRANSPORTATION, TO, 1, acc, 1142, 0.0000000
TRANSPORTATION, TO, 1, precision, 144, 0.0000000
TRANSPORTATION, TO, 1, recall, 1081, 0.0000000
TRANSPORTATION, TO, 1, f1, 1225, -
TRANSPORTATION, STATION, 1, acc, 269, 0.0000000
TRANSPORTATION, STATION, 1, precision, 0, -
TRANSPORTATION, STATION, 1, recall, 269, 0.0000000
TRANSPORTATION, STATION, 1, f1, 269, -
TRANSPORTATION, LINE, 1, acc, 242, 0.0000000
TRANSPORTATION, LINE, 1, precision, 0, -
TRANSPORTATION, LINE, 1, recall, 263, 0.0000000
TRANSPORTATION, LINE, 1, f1, 263, -
TRANSPORTATION, TYPE, 1, acc, 1940, 0.5695876
TRANSPORTATION, TYPE, 1, precision, 1940, 0.5969072
TRANSPORTATION, TYPE, 1, recall, 1771, 0.6538679
TRANSPORTATION, TYPE, 1, f1, 2553, 0.6240905
TRANSPORTATION, TICKET, 1, acc, 43, 0.0000000
TRANSPORTATION, TICKET, 1, precision, 0, -
TRANSPORTATION, TICKET, 1, recall, 43, 0.0000000
TRANSPORTATION, TICKET, 1, f1, 43, -
TRANSPORTATION, all, 1, acc, 1940, 0.0402062
TRANSPORTATION, all, 1, precision, 2087, 0.5548634
TRANSPORTATION, all, 1, recall, 5677, 0.2039810
TRANSPORTATION, all, 1, f1, 6606, 0.2982998
SHOPPING, INFO, 1, acc, 538, 0.0111524
SHOPPING, INFO, 1, precision, 17, 0.3529412
SHOPPING, INFO, 1, recall, 603, 0.0099502
SHOPPING, INFO, 1, f1, 614, 0.0193548
SHOPPING, TYPE_OF_PLACE, 1, acc, 331, 0.0000000
SHOPPING, TYPE_OF_PLACE, 1, precision, 0, -
SHOPPING, TYPE_OF_PLACE, 1, recall, 331, 0.0000000
SHOPPING, TYPE_OF_PLACE, 1, f1, 331, -
SHOPPING, PLACE, 1, acc, 670, 0.0716418
SHOPPING, PLACE, 1, precision, 623, 0.0770465
SHOPPING, PLACE, 1, recall, 277, 0.1732852
SHOPPING, PLACE, 1, f1, 852, 0.1066667
SHOPPING, NEIGHBOURHOOD, 1, acc, 327, 0.0000000
SHOPPING, NEIGHBOURHOOD, 1, precision, 0, -
SHOPPING, NEIGHBOURHOOD, 1, recall, 330, 0.0000000
SHOPPING, NEIGHBOURHOOD, 1, f1, 330, -
SHOPPING, TIME, 1, acc, 0, -
SHOPPING, TIME, 1, precision, 0, -
SHOPPING, TIME, 1, recall, 0, -
SHOPPING, TIME, 1, f1, 0, -
SHOPPING, all, 1, acc, 745, 0.0201342
SHOPPING, all, 1, precision, 640, 0.0843750
SHOPPING, all, 1, recall, 1541, 0.0350422
SHOPPING, all, 1, f1, 2127, 0.0495186
ACCOMMODATION, INFO, 1, acc, 804, 0.0000000
ACCOMMODATION, INFO, 1, precision, 0, -
ACCOMMODATION, INFO, 1, recall, 917, 0.0000000
ACCOMMODATION, INFO, 1, f1, 917, -
ACCOMMODATION, TYPE_OF_PLACE, 1, acc, 140, 0.0000000
ACCOMMODATION, TYPE_OF_PLACE, 1, precision, 0, -
ACCOMMODATION, TYPE_OF_PLACE, 1, recall, 140, 0.0000000
ACCOMMODATION, TYPE_OF_PLACE, 1, f1, 140, -
ACCOMMODATION, PLACE, 1, acc, 740, 0.0000000
ACCOMMODATION, PLACE, 1, precision, 0, -
ACCOMMODATION, PLACE, 1, recall, 782, 0.0000000
ACCOMMODATION, PLACE, 1, f1, 782, -
ACCOMMODATION, NEIGHBOURHOOD, 1, acc, 137, 0.0000000
ACCOMMODATION, NEIGHBOURHOOD, 1, precision, 0, -
ACCOMMODATION, NEIGHBOURHOOD, 1, recall, 137, 0.0000000
ACCOMMODATION, NEIGHBOURHOOD, 1, f1, 137, -
ACCOMMODATION, all, 1, acc, 973, 0.0164440
ACCOMMODATION, all, 1, precision, 0, -
ACCOMMODATION, all, 1, recall, 1976, 0.0000000
ACCOMMODATION, all, 1, f1, 1976, -
all, all, 2, acc, 1307, 0.0107116
all, all, 2, precision, 330, 0.4000000
all, all, 2, recall, 2993, 0.0441029
all, all, 2, f1, 3191, 0.0794463
FOOD, INFO, 2, acc, 159, 0.0000000
FOOD, INFO, 2, precision, 0, -
FOOD, INFO, 2, recall, 178, 0.0000000
FOOD, INFO, 2, f1, 178, -
FOOD, CUISINE, 2, acc, 64, 0.0000000
FOOD, CUISINE, 2, precision, 0, -
FOOD, CUISINE, 2, recall, 75, 0.0000000
FOOD, CUISINE, 2, f1, 75, -
FOOD, TYPE_OF_PLACE, 2, acc, 34, 0.0000000
FOOD, TYPE_OF_PLACE, 2, precision, 0, -
FOOD, TYPE_OF_PLACE, 2, recall, 36, 0.0000000
FOOD, TYPE_OF_PLACE, 2, f1, 36, -
FOOD, DRINK, 2, acc, 10, 0.0000000
FOOD, DRINK, 2, precision, 0, -
FOOD, DRINK, 2, recall, 10, 0.0000000
FOOD, DRINK, 2, f1, 10, -
FOOD, PLACE, 2, acc, 62, 0.0000000
FOOD, PLACE, 2, precision, 0, -
FOOD, PLACE, 2, recall, 65, 0.0000000
FOOD, PLACE, 2, f1, 65, -
FOOD, MEAL_TIME, 2, acc, 1, 0.0000000
FOOD, MEAL_TIME, 2, precision, 0, -
FOOD, MEAL_TIME, 2, recall, 3, 0.0000000
FOOD, MEAL_TIME, 2, f1, 3, -
FOOD, DISH, 2, acc, 165, 0.0000000
FOOD, DISH, 2, precision, 0, -
FOOD, DISH, 2, recall, 174, 0.0000000
FOOD, DISH, 2, f1, 174, -
FOOD, NEIGHBOURHOOD, 2, acc, 30, 0.0000000
FOOD, NEIGHBOURHOOD, 2, precision, 0, -
FOOD, NEIGHBOURHOOD, 2, recall, 30, 0.0000000
FOOD, NEIGHBOURHOOD, 2, f1, 30, -
FOOD, all, 2, acc, 272, 0.0000000
FOOD, all, 2, precision, 0, -
FOOD, all, 2, recall, 571, 0.0000000
FOOD, all, 2, f1, 571, -
ATTRACTION, INFO, 2, acc, 401, 0.0000000
ATTRACTION, INFO, 2, precision, 0, -
ATTRACTION, INFO, 2, recall, 465, 0.0000000
ATTRACTION, INFO, 2, f1, 465, -
ATTRACTION, TYPE_OF_PLACE, 2, acc, 131, 0.0000000
ATTRACTION, TYPE_OF_PLACE, 2, precision, 0, -
ATTRACTION, TYPE_OF_PLACE, 2, recall, 137, 0.0000000
ATTRACTION, TYPE_OF_PLACE, 2, f1, 137, -
ATTRACTION, ACTIVITY, 2, acc, 113, 0.0000000
ATTRACTION, ACTIVITY, 2, precision, 0, -
ATTRACTION, ACTIVITY, 2, recall, 125, 0.0000000
ATTRACTION, ACTIVITY, 2, f1, 125, -
ATTRACTION, PLACE, 2, acc, 411, 0.0072993
ATTRACTION, PLACE, 2, precision, 22, 0.1363636
ATTRACTION, PLACE, 2, recall, 423, 0.0070922
ATTRACTION, PLACE, 2, f1, 442, 0.0134831
ATTRACTION, TIME, 2, acc, 29, 0.0000000
ATTRACTION, TIME, 2, precision, 0, -
ATTRACTION, TIME, 2, recall, 31, 0.0000000
ATTRACTION, TIME, 2, f1, 31, -
ATTRACTION, NEIGHBOURHOOD, 2, acc, 186, 0.0000000
ATTRACTION, NEIGHBOURHOOD, 2, precision, 0, -
ATTRACTION, NEIGHBOURHOOD, 2, recall, 199, 0.0000000
ATTRACTION, NEIGHBOURHOOD, 2, f1, 199, -
ATTRACTION, all, 2, acc, 614, 0.0032573
ATTRACTION, all, 2, precision, 22, 0.1363636
ATTRACTION, all, 2, recall, 1380, 0.0021739
ATTRACTION, all, 2, f1, 1399, 0.0042796
TRANSPORTATION, INFO, 2, acc, 126, 0.0000000
TRANSPORTATION, INFO, 2, precision, 1, 0.0000000
TRANSPORTATION, INFO, 2, recall, 132, 0.0000000
TRANSPORTATION, INFO, 2, f1, 133, -
TRANSPORTATION, FROM, 2, acc, 117, 0.0000000
TRANSPORTATION, FROM, 2, precision, 0, -
TRANSPORTATION, FROM, 2, recall, 123, 0.0000000
TRANSPORTATION, FROM, 2, f1, 123, -
TRANSPORTATION, TO, 2, acc, 131, 0.0000000
TRANSPORTATION, TO, 2, precision, 18, 0.0000000
TRANSPORTATION, TO, 2, recall, 128, 0.0000000
TRANSPORTATION, TO, 2, f1, 146, -
TRANSPORTATION, STATION, 2, acc, 27, 0.0000000
TRANSPORTATION, STATION, 2, precision, 0, -
TRANSPORTATION, STATION, 2, recall, 27, 0.0000000
TRANSPORTATION, STATION, 2, f1, 27, -
TRANSPORTATION, LINE, 2, acc, 29, 0.0000000
TRANSPORTATION, LINE, 2, precision, 0, -
TRANSPORTATION, LINE, 2, recall, 31, 0.0000000
TRANSPORTATION, LINE, 2, f1, 31, -
TRANSPORTATION, TYPE, 2, acc, 231, 0.5324675
TRANSPORTATION, TYPE, 2, precision, 231, 0.5541126
TRANSPORTATION, TYPE, 2, recall, 209, 0.6124402
TRANSPORTATION, TYPE, 2, f1, 312, 0.5818182
TRANSPORTATION, TICKET, 2, acc, 5, 0.0000000
TRANSPORTATION, TICKET, 2, precision, 0, -
TRANSPORTATION, TICKET, 2, recall, 5, 0.0000000
TRANSPORTATION, TICKET, 2, f1, 5, -
TRANSPORTATION, all, 2, acc, 231, 0.0432900
TRANSPORTATION, all, 2, precision, 250, 0.5120000
TRANSPORTATION, all, 2, recall, 655, 0.1954198
TRANSPORTATION, all, 2, f1, 777, 0.2828729
SHOPPING, INFO, 2, acc, 46, 0.0217391
SHOPPING, INFO, 2, precision, 5, 0.2000000
SHOPPING, INFO, 2, recall, 52, 0.0192308
SHOPPING, INFO, 2, f1, 56, 0.0350877
SHOPPING, TYPE_OF_PLACE, 2, acc, 35, 0.0000000
SHOPPING, TYPE_OF_PLACE, 2, precision, 0, -
SHOPPING, TYPE_OF_PLACE, 2, recall, 35, 0.0000000
SHOPPING, TYPE_OF_PLACE, 2, f1, 35, -
SHOPPING, PLACE, 2, acc, 59, 0.0000000
SHOPPING, PLACE, 2, precision, 53, 0.0000000
SHOPPING, PLACE, 2, recall, 28, 0.0000000
SHOPPING, PLACE, 2, f1, 81, -
SHOPPING, NEIGHBOURHOOD, 2, acc, 35, 0.0000000
SHOPPING, NEIGHBOURHOOD, 2, precision, 0, -
SHOPPING, NEIGHBOURHOOD, 2, recall, 36, 0.0000000
SHOPPING, NEIGHBOURHOOD, 2, f1, 36, -
SHOPPING, TIME, 2, acc, 0, -
SHOPPING, TIME, 2, precision, 0, -
SHOPPING, TIME, 2, recall, 0, -
SHOPPING, TIME, 2, f1, 0, -
SHOPPING, all, 2, acc, 72, 0.0000000
SHOPPING, all, 2, precision, 58, 0.0172414
SHOPPING, all, 2, recall, 151, 0.0066225
SHOPPING, all, 2, f1, 208, 0.0095694
ACCOMMODATION, INFO, 2, acc, 89, 0.0000000
ACCOMMODATION, INFO, 2, precision, 0, -
ACCOMMODATION, INFO, 2, recall, 104, 0.0000000
ACCOMMODATION, INFO, 2, f1, 104, -
ACCOMMODATION, TYPE_OF_PLACE, 2, acc, 16, 0.0000000
ACCOMMODATION, TYPE_OF_PLACE, 2, precision, 0, -
ACCOMMODATION, TYPE_OF_PLACE, 2, recall, 16, 0.0000000
ACCOMMODATION, TYPE_OF_PLACE, 2, f1, 16, -
ACCOMMODATION, PLACE, 2, acc, 94, 0.0000000
ACCOMMODATION, PLACE, 2, precision, 0, -
ACCOMMODATION, PLACE, 2, recall, 97, 0.0000000
ACCOMMODATION, PLACE, 2, f1, 97, -
ACCOMMODATION, NEIGHBOURHOOD, 2, acc, 19, 0.0000000
ACCOMMODATION, NEIGHBOURHOOD, 2, precision, 0, -
ACCOMMODATION, NEIGHBOURHOOD, 2, recall, 19, 0.0000000
ACCOMMODATION, NEIGHBOURHOOD, 2, f1, 19, -
ACCOMMODATION, all, 2, acc, 118, 0.0169492
