topic, slot, schedule, stat, N, result
all, all, 1, acc, 12290, 0.0313263
all, all, 1, precision, 31482, 0.1505940
all, all, 1, recall, 28776, 0.1647554
all, all, 1, f1, 55517, 0.1573567
FOOD, INFO, 1, acc, 1839, 0.0174008
FOOD, INFO, 1, precision, 591, 0.0541455
FOOD, INFO, 1, recall, 1945, 0.0164524
FOOD, INFO, 1, f1, 2504, 0.0252366
FOOD, CUISINE, 1, acc, 685, 0.1313869
FOOD, CUISINE, 1, precision, 1097, 0.0838651
FOOD, CUISINE, 1, recall, 673, 0.1367013
FOOD, CUISINE, 1, f1, 1678, 0.1039548
FOOD, TYPE_OF_PLACE, 1, acc, 437, 0.1212815
FOOD, TYPE_OF_PLACE, 1, precision, 158, 0.3734177
FOOD, TYPE_OF_PLACE, 1, recall, 378, 0.1560847
FOOD, TYPE_OF_PLACE, 1, f1, 477, 0.2201493
FOOD, DRINK, 1, acc, 156, 0.0833333
FOOD, DRINK, 1, precision, 240, 0.0833333
FOOD, DRINK, 1, recall, 112, 0.1785714
FOOD, DRINK, 1, f1, 332, 0.1136364
FOOD, PLACE, 1, acc, 719, 0.0194715
FOOD, PLACE, 1, precision, 8185, 0.0017104
FOOD, PLACE, 1, recall, 527, 0.0265655
FOOD, PLACE, 1, f1, 8698, 0.0032140
FOOD, MEAL_TIME, 1, acc, 126, 0.0238095
FOOD, MEAL_TIME, 1, precision, 125, 0.1760000
FOOD, MEAL_TIME, 1, recall, 46, 0.4782609
FOOD, MEAL_TIME, 1, f1, 149, 0.2573099
FOOD, DISH, 1, acc, 1825, 0.1397260
FOOD, DISH, 1, precision, 1803, 0.1735996
FOOD, DISH, 1, recall, 1865, 0.1678284
FOOD, DISH, 1, f1, 3355, 0.1706652
FOOD, NEIGHBOURHOOD, 1, acc, 397, 0.2367758
FOOD, NEIGHBOURHOOD, 1, precision, 1511, 0.0641959
FOOD, NEIGHBOURHOOD, 1, recall, 310, 0.3129032
FOOD, NEIGHBOURHOOD, 1, f1, 1724, 0.1065349
FOOD, all, 1, acc, 2683, 0.0294447
FOOD, all, 1, precision, 13710, 0.0473377
FOOD, all, 1, recall, 5856, 0.1108265
FOOD, all, 1, f1, 18917, 0.0663396
ATTRACTION, INFO, 1, acc, 4233, 0.0094496
ATTRACTION, INFO, 1, precision, 633, 0.1611374
ATTRACTION, INFO, 1, recall, 4948, 0.0206144
ATTRACTION, INFO, 1, f1, 5479, 0.0365526
ATTRACTION, TYPE_OF_PLACE, 1, acc, 1933, 0.1681324
ATTRACTION, TYPE_OF_PLACE, 1, precision, 1376, 0.2703488
ATTRACTION, TYPE_OF_PLACE, 1, recall, 1388, 0.2680115
ATTRACTION, TYPE_OF_PLACE, 1, f1, 2392, 0.2691751
ATTRACTION, ACTIVITY, 1, acc, 1581, 0.0645161
