task, subtask, schedule, stat, N, result
SLU, speech_act, all, precision, 4864, 0.510690789474
SLU, speech_act, all, recall, 4579, 0.542476523258
SLU, speech_act, all, f1, 6959, 0.526103992375
SLU, speech_act, act, precision, 4015, 0.825155666252
SLU, speech_act, act, recall, 4093, 0.809430735402
SLU, speech_act, act, f1, 4795, 0.817217562901
SLU, semantic_tagged, detection, precision, 1042, 0.777351247601
SLU, semantic_tagged, detection, recall, 2061, 0.393013100437
SLU, semantic_tagged, detection, f1, 2293, 0.522075410893
SLU, semantic_tagged, all, precision, 1042, 0.525911708253
SLU, semantic_tagged, all, recall, 2061, 0.265890344493
SLU, semantic_tagged, all, f1, 2555, 0.353206574283
SLU, semantic_tagged, class, precision, 1042, 0.68330134357
SLU, semantic_tagged, class, recall, 2061, 0.345463367297
SLU, semantic_tagged, class, f1, 2391, 0.45891073155
